cell_id,Chrysuronia versicolor,Chrysuronia versicolor [versicolor Group],Chrysuronia versicolor rondoniae
835f2bfffffffff,2.0,0.0,0.0
838010fffffffff,2.0,2.0,0.0
83815dfffffffff,4.0,4.0,0.0
838a04fffffffff,2.0,0.0,2.0
838a05fffffffff,2.0,0.0,0.0
838a21fffffffff,3.0,0.0,3.0
83a810fffffffff,1.0,0.0,0.0
83a812fffffffff,7.0,0.0,0.0
83a835fffffffff,2.0,0.0,0.0
83a891fffffffff,7.0,7.0,0.0
83a8a9fffffffff,1.0,1.0,0.0
83a946fffffffff,2.0,0.0,0.0
83a953fffffffff,116.0,0.0,0.0
83a95efffffffff,1.0,0.0,0.0
