cell_id,Trogon chrysochloros,Trogon chrysochloros muriciensis,Trogon chrysochloros chrysochloros
828117fffffffff,2.0,0.0,0.0
828137fffffffff,253.0,0.0,0.0
828187fffffffff,66.0,0.0,0.0
82a597fffffffff,43.0,0.0,0.0
82a807fffffffff,506.0,0.0,0.0
82a817fffffffff,711.0,0.0,0.0
82a81ffffffffff,19.0,0.0,0.0
82a827fffffffff,54.0,0.0,0.0
82a82ffffffffff,26.0,0.0,0.0
82a837fffffffff,224.0,0.0,0.0
82a867fffffffff,5.0,0.0,0.0
82a877fffffffff,1.0,0.0,0.0
82a887fffffffff,108.0,0.0,0.0
82a897fffffffff,50.0,0.0,0.0
82a8a7fffffffff,354.0,0.0,0.0
82a8affffffffff,10.0,0.0,0.0
82a907fffffffff,3.0,0.0,0.0
82a90ffffffffff,38.0,0.0,0.0
82a91ffffffffff,86.0,0.0,0.0
82a947fffffffff,276.0,0.0,0.0
82a957fffffffff,1591.0,0.0,0.0
82a95ffffffffff,106.0,0.0,0.0
82a977fffffffff,36.0,0.0,0.0
