cell_id,Synallaxis albescens,Synallaxis albescens [albescens Group],Synallaxis albescens australis
826617fffffffff,13.0,0.0,0.0
82661ffffffffff,3.0,0.0,0.0
8266a7fffffffff,3.0,0.0,0.0
8266b7fffffffff,8.0,0.0,0.0
826747fffffffff,1.0,0.0,0.0
82674ffffffffff,2.0,0.0,0.0
82675ffffffffff,4.0,0.0,0.0
826d6ffffffffff,2.0,0.0,0.0
828a07fffffffff,4.0,0.0,0.0
828b77fffffffff,1.0,0.0,0.0
82a947fffffffff,12.0,0.0,0.0
82a967fffffffff,93.0,0.0,0.0
82a96ffffffffff,31.0,0.0,0.0
82b20ffffffffff,3.0,0.0,0.0
82b247fffffffff,1.0,0.0,0.0
82b24ffffffffff,332.0,0.0,0.0
82b25ffffffffff,5.0,0.0,0.0
82b267fffffffff,11.0,0.0,0.0
82b26ffffffffff,108.0,0.0,0.0
82b277fffffffff,2.0,0.0,0.0
82b347fffffffff,4.0,0.0,0.0
82b35ffffffffff,8.0,0.0,0.0
82c21ffffffffff,2.0,0.0,0.0
82c2c7fffffffff,39.0,0.0,0.0
82c2cffffffffff,106.0,0.0,0.0
82c2dffffffffff,31.0,0.0,0.0
82c2e7fffffffff,12.0,0.0,0.0
82c2effffffffff,27.0,0.0,0.0
82c32ffffffffff,11.0,0.0,0.0
82c34ffffffffff,8.0,0.0,0.0
82c357fffffffff,7.0,0.0,0.0
