cell_id,Vireolanius leucotis,Vireolanius leucotis mikettae,Vireolanius leucotis [leucotis Group]
835f40fffffffff,1.0,0.0,0.0
835f42fffffffff,1.0,0.0,0.0
835f70fffffffff,1.0,0.0,1.0
83665afffffffff,2.0,0.0,0.0
8366c0fffffffff,5.0,0.0,0.0
8366c2fffffffff,3.0,0.0,0.0
8366d0fffffffff,6.0,6.0,0.0
8366d1fffffffff,15.0,0.0,15.0
8366d2fffffffff,1.0,1.0,0.0
8366d3fffffffff,3.0,3.0,0.0
8366defffffffff,6.0,0.0,6.0
8366e3fffffffff,5.0,0.0,0.0
838a45fffffffff,1.0,0.0,0.0
838f28fffffffff,3.0,0.0,0.0
838f29fffffffff,12.0,0.0,0.0
838f2bfffffffff,1.0,0.0,0.0
838f2cfffffffff,2.0,0.0,0.0
