cell_id,Calendulauda sabota,Calendulauda sabota [naevia Group],Calendulauda sabota [sabota Group]
8483045ffffffff,4.0,0.0,0.0
848304dffffffff,11.0,0.0,0.0
84831ebffffffff,2.0,0.0,0.0
8483201ffffffff,4.0,0.0,0.0
848320bffffffff,3.0,0.0,0.0
848320dffffffff,3.0,0.0,0.0
8483235ffffffff,1.0,0.0,0.0
8483263ffffffff,2.0,0.0,0.0
8497051ffffffff,2.0,0.0,0.0
8497053ffffffff,1.0,0.0,0.0
8497081ffffffff,1.0,0.0,0.0
849721bffffffff,9.0,0.0,0.0
849723bffffffff,1.0,0.0,0.0
8497245ffffffff,1.0,0.0,0.0
849728bffffffff,2.0,0.0,0.0
849728dffffffff,15.0,0.0,2.0
8497291ffffffff,42.0,0.0,14.0
8497295ffffffff,10.0,0.0,1.0
8497297ffffffff,4.0,0.0,0.0
84972c1ffffffff,5.0,0.0,0.0
84972c5ffffffff,66.0,0.0,28.0
84972c9ffffffff,31.0,0.0,2.0
84972cdffffffff,153.0,0.0,59.0
84972d7ffffffff,1.0,0.0,0.0
84972d9ffffffff,30.0,0.0,2.0
84972dbffffffff,6.0,0.0,1.0
84972e3ffffffff,40.0,0.0,14.0
84972ebffffffff,39.0,0.0,15.0
8497405ffffffff,32.0,0.0,0.0
849740dffffffff,7.0,0.0,0.0
8497417ffffffff,3.0,0.0,0.0
8497431ffffffff,2.0,0.0,0.0
8497435ffffffff,1.0,0.0,0.0
8497437ffffffff,2.0,0.0,0.0
849743bffffffff,2.0,0.0,0.0
8497447ffffffff,2.0,0.0,0.0
8497455ffffffff,4.0,0.0,0.0
8497459ffffffff,25.0,0.0,0.0
84974abffffffff,10.0,0.0,0.0
84974bbffffffff,1.0,0.0,0.0
84974e1ffffffff,1.0,0.0,0.0
84974e5ffffffff,3.0,0.0,0.0
84974e9ffffffff,18.0,0.0,0.0
84974edffffffff,8.0,0.0,0.0
8497513ffffffff,6.0,0.0,0.0
84975c9ffffffff,1.0,0.0,0.0
849763bffffffff,2.0,0.0,0.0
8497645ffffffff,1.0,0.0,0.0
8497649ffffffff,2.0,0.0,0.0
849764dffffffff,1.0,0.0,0.0
8497685ffffffff,3.0,0.0,0.0
8497717ffffffff,1.0,0.0,0.0
849773bffffffff,2.0,0.0,0.0
849774dffffffff,3.0,0.0,0.0
8497751ffffffff,7.0,0.0,0.0
84ac125ffffffff,2.0,0.0,0.0
84ac801ffffffff,248.0,0.0,0.0
84ac803ffffffff,3.0,0.0,0.0
84ac805ffffffff,151.0,0.0,0.0
84ac807ffffffff,17.0,0.0,0.0
84ac809ffffffff,5.0,0.0,0.0
84ac80bffffffff,3.0,0.0,0.0
84ac80dffffffff,5.0,0.0,0.0
84ac811ffffffff,9.0,0.0,0.0
84ac813ffffffff,3.0,0.0,0.0
84ac815ffffffff,6.0,0.0,0.0
84ac819ffffffff,23.0,0.0,0.0
84ac81bffffffff,13.0,7.0,0.0
84ac81dffffffff,3.0,0.0,0.0
84ac829ffffffff,11.0,0.0,0.0
84ac82dffffffff,16.0,0.0,0.0
84ac841ffffffff,4.0,0.0,0.0
84ac849ffffffff,3.0,0.0,0.0
84ac853ffffffff,8.0,0.0,0.0
84ac857ffffffff,1.0,0.0,0.0
84ac85bffffffff,4.0,0.0,0.0
84ac85dffffffff,1.0,0.0,0.0
84ac863ffffffff,67.0,0.0,0.0
84ac865ffffffff,2.0,0.0,0.0
84ac867ffffffff,155.0,0.0,0.0
84ac8a3ffffffff,1.0,0.0,0.0
84ac8e7ffffffff,1.0,0.0,0.0
84ac95bffffffff,2.0,0.0,0.0
84aca03ffffffff,5.0,0.0,0.0
84aca15ffffffff,148.0,40.0,0.0
84aca17ffffffff,6.0,6.0,0.0
84aca1dffffffff,3.0,0.0,0.0
84aca23ffffffff,7.0,2.0,0.0
84aca27ffffffff,16.0,0.0,0.0
84aca29ffffffff,3.0,0.0,0.0
84aca2bffffffff,11.0,3.0,0.0
84aca33ffffffff,8.0,0.0,0.0
84aca35ffffffff,2.0,0.0,0.0
84aca39ffffffff,60.0,9.0,0.0
84aca3bffffffff,12.0,2.0,0.0
84aca3dffffffff,26.0,3.0,0.0
84aca41ffffffff,10.0,4.0,0.0
84aca45ffffffff,3.0,0.0,0.0
84aca47ffffffff,3.0,0.0,0.0
84aca4bffffffff,73.0,31.0,0.0
84aca4dffffffff,7.0,0.0,0.0
84aca51ffffffff,6.0,0.0,0.0
84aca53ffffffff,2.0,0.0,0.0
84aca55ffffffff,3.0,0.0,0.0
84aca5dffffffff,19.0,2.0,0.0
84aca61ffffffff,12.0,0.0,0.0
84aca69ffffffff,4.0,0.0,0.0
84aca6bffffffff,64.0,4.0,0.0
84acaa5ffffffff,7.0,2.0,0.0
84acaa7ffffffff,4.0,0.0,0.0
84acae5ffffffff,2.0,0.0,0.0
84acae7ffffffff,11.0,4.0,0.0
84acaedffffffff,30.0,2.0,0.0
84acb1bffffffff,3.0,0.0,0.0
84ad807ffffffff,1.0,0.0,0.0
84ad825ffffffff,4.0,0.0,0.0
84ad82dffffffff,5.0,0.0,0.0
84ad85bffffffff,4.0,0.0,0.0
84ad861ffffffff,3.0,0.0,0.0
84ad867ffffffff,9.0,1.0,0.0
84ad869ffffffff,1.0,0.0,0.0
84ad883ffffffff,1.0,0.0,0.0
