cell_id,Corythornis cristatus,Corythornis cristatus [cristatus Group],Corythornis cristatus thomensis,Corythornis cristatus nais
84524d7ffffffff,6.0,0.0,0.0,0.0
8454e4dffffffff,1.0,0.0,0.0,0.0
8463321ffffffff,2.0,0.0,0.0,0.0
8463325ffffffff,2.0,2.0,0.0,0.0
846ac3dffffffff,1.0,1.0,0.0,0.0
846ac89ffffffff,6.0,2.0,0.0,0.0
846ac9bffffffff,1.0,1.0,0.0,0.0
84750d3ffffffff,2.0,2.0,0.0,0.0
84750dbffffffff,2.0,2.0,0.0,0.0
8475201ffffffff,1.0,1.0,0.0,0.0
847a407ffffffff,2.0,2.0,0.0,0.0
847a413ffffffff,1.0,0.0,0.0,0.0
847a45dffffffff,2.0,1.0,0.0,0.0
847a643ffffffff,1.0,0.0,0.0,0.0
847a683ffffffff,5.0,5.0,0.0,0.0
847a6adffffffff,1.0,0.0,0.0,0.0
847acd5ffffffff,2.0,0.0,0.0,0.0
847b4adffffffff,5.0,0.0,0.0,0.0
847b4c5ffffffff,1.0,0.0,0.0,0.0
847b4c7ffffffff,24.0,0.0,0.0,0.0
847b4e7ffffffff,5.0,0.0,0.0,0.0
8497417ffffffff,1.0,1.0,0.0,0.0
84974a9ffffffff,1.0,0.0,0.0,0.0
84974e3ffffffff,1.0,0.0,0.0,0.0
84974e9ffffffff,7.0,0.0,0.0,0.0
84bcc23ffffffff,7.0,0.0,0.0,0.0
84bcd29ffffffff,2.0,0.0,0.0,0.0
84bcd67ffffffff,1.0,1.0,0.0,0.0
