cell_id,Agriornis micropterus,Agriornis micropterus andecola,Agriornis micropterus micropterus
828b27fffffffff,4.0,0.0,0.0
828b2ffffffffff,21.0,0.0,0.0
82b20ffffffffff,1.0,0.0,0.0
82b227fffffffff,2.0,0.0,0.0
82b22ffffffffff,1.0,0.0,0.0
82b247fffffffff,95.0,0.0,0.0
82b24ffffffffff,62.0,0.0,0.0
82b257fffffffff,4.0,0.0,0.0
82b25ffffffffff,181.0,0.0,0.0
82b267fffffffff,10.0,0.0,0.0
82b26ffffffffff,14.0,0.0,0.0
82b277fffffffff,12.0,0.0,0.0
82b2cffffffffff,40.0,0.0,0.0
82b2e7fffffffff,6.0,0.0,0.0
82b2effffffffff,81.0,0.0,0.0
82b307fffffffff,36.0,0.0,0.0
82b30ffffffffff,80.0,0.0,0.0
82b327fffffffff,15.0,0.0,0.0
82b32ffffffffff,1.0,0.0,0.0
82b347fffffffff,2.0,0.0,0.0
82b34ffffffffff,1.0,0.0,0.0
82b357fffffffff,149.0,0.0,0.0
82b35ffffffffff,55.0,0.0,0.0
82b377fffffffff,46.0,0.0,0.0
82c2cffffffffff,1.0,0.0,0.0
82c2e7fffffffff,1.0,0.0,0.0
82c2effffffffff,11.0,0.0,0.0
82c307fffffffff,17.0,0.0,0.0
82c30ffffffffff,10.0,0.0,0.0
82c327fffffffff,83.0,0.0,0.0
82c32ffffffffff,210.0,0.0,2.0
82c347fffffffff,19.0,0.0,0.0
82c34ffffffffff,38.0,0.0,0.0
82c357fffffffff,17.0,0.0,0.0
82c35ffffffffff,1.0,0.0,0.0
82c367fffffffff,40.0,0.0,0.0
82c36ffffffffff,20.0,0.0,0.0
82c377fffffffff,87.0,0.0,0.0
82ce87fffffffff,49.0,0.0,0.0
82ce97fffffffff,75.0,0.0,0.0
82ce9ffffffffff,185.0,0.0,0.0
82cea7fffffffff,10.0,0.0,0.0
82ceb7fffffffff,6.0,0.0,0.0
82cf17fffffffff,20.0,0.0,0.0
82cf87fffffffff,31.0,0.0,0.0
82cf8ffffffffff,122.0,0.0,0.0
82cf97fffffffff,45.0,0.0,0.0
82cf9ffffffffff,71.0,0.0,0.0
82cfa7fffffffff,71.0,0.0,0.0
82cfaffffffffff,44.0,0.0,0.0
82cfb7fffffffff,5.0,0.0,0.0
82df6ffffffffff,4.0,0.0,0.0
