cell_id,Cypseloides niger,Cypseloides niger borealis,Cypseloides niger costaricensis,Cypseloides niger niger
82121ffffffffff,2.0,0.0,0.0,0.0
821287fffffffff,61.0,0.0,0.0,0.0
82128ffffffffff,60.0,0.0,0.0,0.0
82129ffffffffff,44.0,0.0,0.0,0.0
8212a7fffffffff,6.0,0.0,0.0,0.0
8212affffffffff,12.0,0.0,0.0,0.0
8212b7fffffffff,60.0,0.0,0.0,0.0
8212c7fffffffff,177.0,0.0,0.0,0.0
8212cffffffffff,240.0,0.0,0.0,0.0
8212d7fffffffff,242.0,0.0,0.0,0.0
8212dffffffffff,197.0,0.0,0.0,0.0
8212f7fffffffff,176.0,0.0,0.0,0.0
822687fffffffff,270.0,0.0,0.0,0.0
82268ffffffffff,51.0,0.0,0.0,0.0
82269ffffffffff,530.0,0.0,0.0,0.0
822817fffffffff,179.0,0.0,0.0,0.0
82281ffffffffff,4.0,0.0,0.0,0.0
822837fffffffff,145.0,0.0,0.0,0.0
82288ffffffffff,16.0,0.0,0.0,0.0
82289ffffffffff,55.0,0.0,0.0,0.0
8228c7fffffffff,190.0,0.0,0.0,0.0
8228cffffffffff,11.0,0.0,0.0,0.0
8228d7fffffffff,1591.0,0.0,0.0,0.0
8228dffffffffff,1292.0,0.0,0.0,0.0
8228f7fffffffff,92.0,0.0,0.0,0.0
822917fffffffff,15.0,0.0,0.0,0.0
82291ffffffffff,105.0,0.0,0.0,0.0
82298ffffffffff,84.0,0.0,0.0,0.0
8229a7fffffffff,7.0,0.0,0.0,0.0
8229affffffffff,104.0,0.0,0.0,0.0
8245b7fffffffff,41.0,0.0,0.0,0.0
82480ffffffffff,3.0,0.0,0.0,0.0
824817fffffffff,24.0,0.0,0.0,0.0
82481ffffffffff,25.0,0.0,0.0,0.0
824837fffffffff,43.0,0.0,0.0,0.0
8248e7fffffffff,2.0,0.0,0.0,0.0
824987fffffffff,34.0,0.0,0.0,0.0
824997fffffffff,421.0,0.0,0.0,0.0
82499ffffffffff,4.0,0.0,0.0,0.0
8249affffffffff,16.0,0.0,0.0,0.0
8249b7fffffffff,23.0,0.0,0.0,0.0
824c8ffffffffff,7.0,0.0,0.0,0.0
824cc7fffffffff,115.0,0.0,0.0,0.0
824cd7fffffffff,38.0,0.0,0.0,0.0
824ceffffffffff,165.0,0.0,0.0,0.0
825e47fffffffff,167.0,0.0,0.0,0.0
825e5ffffffffff,34.0,0.0,0.0,0.0
825e77fffffffff,35.0,0.0,0.0,0.0
82661ffffffffff,1.0,0.0,0.0,0.0
8266a7fffffffff,1.0,0.0,0.0,0.0
8266b7fffffffff,445.0,0.0,0.0,0.0
8266c7fffffffff,2.0,0.0,0.0,0.0
826727fffffffff,50.0,0.0,0.0,0.0
826737fffffffff,100.0,0.0,0.0,0.0
826797fffffffff,1.0,0.0,0.0,0.0
82679ffffffffff,42.0,0.0,0.0,0.0
826d07fffffffff,8.0,0.0,0.0,0.0
826d17fffffffff,16.0,0.0,0.0,0.0
826d27fffffffff,6.0,0.0,0.0,0.0
826d2ffffffffff,33.0,0.0,0.0,0.0
826d37fffffffff,232.0,0.0,0.0,0.0
826d67fffffffff,20.0,0.0,0.0,0.0
826d6ffffffffff,379.0,0.0,0.0,0.0
826d77fffffffff,4.0,0.0,0.0,0.0
