cell_id,Cormobates leucophaea,Cormobates leucophaea minor,Cormobates leucophaea [leucophaea Group]
849c055ffffffff,6.0,6.0,0.0
849c059ffffffff,3.0,0.0,0.0
849c05dffffffff,7.0,2.0,0.0
849c203ffffffff,1.0,0.0,0.0
849c215ffffffff,467.0,163.0,0.0
849c217ffffffff,1.0,0.0,0.0
849c231ffffffff,14.0,1.0,0.0
849c233ffffffff,7.0,0.0,0.0
849c237ffffffff,431.0,120.0,0.0
849c239ffffffff,720.0,269.0,0.0
849c23bffffffff,46.0,9.0,0.0
849c251ffffffff,2.0,2.0,0.0
849c259ffffffff,50.0,10.0,0.0
849d01bffffffff,2.0,0.0,0.0
849d0c1ffffffff,1.0,0.0,0.0
849d0c5ffffffff,28.0,0.0,0.0
849d0cdffffffff,97.0,12.0,6.0
849d217ffffffff,2.0,0.0,0.0
849d219ffffffff,9.0,0.0,0.0
849d21dffffffff,2.0,0.0,0.0
849d251ffffffff,9.0,0.0,0.0
849d253ffffffff,22.0,0.0,3.0
849d255ffffffff,2.0,0.0,0.0
849d259ffffffff,1.0,0.0,0.0
849d25bffffffff,20.0,0.0,4.0
849d2c3ffffffff,28.0,0.0,2.0
849d2c7ffffffff,2.0,0.0,0.0
849d2c9ffffffff,2.0,0.0,0.0
84b914dffffffff,20.0,0.0,0.0
84b9169ffffffff,222.0,0.0,8.0
84b916dffffffff,41.0,0.0,3.0
84b9365ffffffff,1.0,0.0,0.0
84be081ffffffff,66.0,0.0,3.0
84be083ffffffff,20.0,0.0,0.0
84be085ffffffff,675.0,0.0,199.0
84be087ffffffff,937.0,0.0,173.0
84be089ffffffff,1682.0,0.0,96.0
84be08bffffffff,34.0,0.0,9.0
84be08dffffffff,864.0,0.0,95.0
84be091ffffffff,8.0,0.0,1.0
84be093ffffffff,20.0,0.0,0.0
84be095ffffffff,8.0,0.0,0.0
84be097ffffffff,19.0,0.0,0.0
84be099ffffffff,73.0,0.0,3.0
84be09bffffffff,15.0,0.0,3.0
84be09dffffffff,14.0,0.0,0.0
84be0a1ffffffff,22.0,0.0,0.0
84be0a3ffffffff,153.0,0.0,19.0
84be0a5ffffffff,9.0,0.0,0.0
84be0a7ffffffff,11.0,0.0,0.0
84be0a9ffffffff,111.0,0.0,10.0
84be0abffffffff,38.0,0.0,1.0
84be0adffffffff,335.0,0.0,3.0
84be0b1ffffffff,14.0,0.0,0.0
84be0b3ffffffff,33.0,0.0,1.0
84be0b5ffffffff,9.0,0.0,2.0
84be0b7ffffffff,13.0,0.0,2.0
84be0b9ffffffff,13.0,0.0,0.0
84be0bbffffffff,22.0,0.0,2.0
84be0bdffffffff,427.0,0.0,45.0
84be0c3ffffffff,1038.0,0.0,203.0
84be0c7ffffffff,2.0,0.0,0.0
84be0d1ffffffff,97.0,0.0,2.0
84be0d3ffffffff,553.0,0.0,9.0
84be0d5ffffffff,502.0,0.0,240.0
84be0d7ffffffff,20.0,0.0,0.0
84be0d9ffffffff,146.0,0.0,11.0
84be0dbffffffff,119.0,0.0,0.0
84be0ddffffffff,374.0,0.0,77.0
84be0e3ffffffff,188.0,0.0,19.0
84be0e7ffffffff,88.0,0.0,1.0
84be181ffffffff,263.0,0.0,3.0
84be183ffffffff,69.0,0.0,3.0
84be185ffffffff,65.0,0.0,0.0
84be187ffffffff,113.0,0.0,11.0
84be189ffffffff,132.0,0.0,4.0
84be18bffffffff,92.0,0.0,8.0
84be18dffffffff,33.0,0.0,3.0
84be191ffffffff,16.0,0.0,0.0
84be193ffffffff,20.0,0.0,0.0
84be195ffffffff,14.0,0.0,2.0
84be197ffffffff,6.0,0.0,0.0
84be199ffffffff,179.0,0.0,25.0
84be19bffffffff,5.0,0.0,0.0
84be19dffffffff,37.0,0.0,0.0
84be1a1ffffffff,47.0,0.0,2.0
84be1a3ffffffff,142.0,0.0,3.0
84be1a5ffffffff,17.0,0.0,0.0
84be1a7ffffffff,12.0,0.0,2.0
84be1a9ffffffff,2.0,0.0,0.0
84be1abffffffff,28.0,0.0,6.0
84be1b1ffffffff,89.0,0.0,6.0
84be1b3ffffffff,37.0,0.0,0.0
84be1b5ffffffff,35.0,0.0,4.0
84be1b7ffffffff,24.0,0.0,4.0
84be1b9ffffffff,47.0,0.0,4.0
84be1bbffffffff,7.0,0.0,0.0
84be1bdffffffff,31.0,0.0,13.0
84be1d1ffffffff,78.0,0.0,15.0
