cell_id,Myiotriccus ornatus,Myiotriccus ornatus ornatus/stellatus,Myiotriccus ornatus phoenicurus/aureiventris
836608fffffffff,2.0,0.0,0.0
83661bfffffffff,3.0,0.0,0.0
8366c0fffffffff,47.0,0.0,0.0
8366d0fffffffff,10.0,0.0,0.0
8366d1fffffffff,5.0,0.0,0.0
8366d3fffffffff,5.0,1.0,0.0
8366defffffffff,38.0,0.0,8.0
8366e3fffffffff,10.0,0.0,0.0
8366e5fffffffff,3.0,0.0,0.0
8366f0fffffffff,5.0,0.0,0.0
838b61fffffffff,6.0,0.0,4.0
838b69fffffffff,19.0,0.0,0.0
838b6efffffffff,18.0,0.0,0.0
838f0dfffffffff,6.0,6.0,0.0
838f46fffffffff,2.0,0.0,2.0
838f4bfffffffff,14.0,0.0,0.0
838f72fffffffff,1.0,0.0,0.0
838f74fffffffff,1.0,0.0,0.0
