cell_id,Malurus splendens,Malurus splendens splendens,Malurus splendens callainus,Malurus splendens melanotus/emmottorum
829d47fffffffff,49.0,0.0,0.0,0.0
829d67fffffffff,49.0,0.0,0.0,0.0
829d6ffffffffff,2.0,0.0,0.0,0.0
829d77fffffffff,7.0,0.0,0.0,0.0
82a627fffffffff,7.0,0.0,0.0,0.0
82a637fffffffff,10.0,0.0,0.0,0.0
82a707fffffffff,38.0,0.0,0.0,0.0
82a717fffffffff,124.0,0.0,0.0,0.0
82a71ffffffffff,58.0,0.0,0.0,0.0
82a727fffffffff,698.0,0.0,0.0,0.0
82a737fffffffff,134.0,0.0,0.0,0.0
82a787fffffffff,9.0,0.0,0.0,0.0
82a7a7fffffffff,15.0,0.0,0.0,0.0
82a7affffffffff,7.0,0.0,0.0,0.0
82b807fffffffff,1.0,0.0,0.0,0.0
82b817fffffffff,9.0,0.0,0.0,0.0
82b837fffffffff,5.0,0.0,0.0,0.0
82b847fffffffff,34.0,0.0,0.0,0.0
82b84ffffffffff,31.0,0.0,0.0,0.0
82b857fffffffff,2.0,0.0,0.0,0.0
82b85ffffffffff,21.0,0.0,0.0,0.0
82b86ffffffffff,10.0,0.0,0.0,0.0
82b877fffffffff,2.0,0.0,0.0,0.0
82b887fffffffff,432.0,0.0,0.0,0.0
82b88ffffffffff,8.0,0.0,0.0,0.0
82b89ffffffffff,2.0,0.0,0.0,0.0
82b8a7fffffffff,16.0,0.0,0.0,0.0
82b8affffffffff,65.0,0.0,0.0,0.0
82b917fffffffff,35.0,0.0,0.0,0.0
82b98ffffffffff,5.0,0.0,0.0,0.0
82b9a7fffffffff,315.0,0.0,0.0,0.0
82b9affffffffff,148.0,0.0,0.0,0.0
82b9b7fffffffff,22.0,0.0,0.0,0.0
82be47fffffffff,11.0,0.0,0.0,0.0
82be4ffffffffff,1279.0,0.0,0.0,0.0
82be57fffffffff,904.0,0.0,0.0,0.0
82be5ffffffffff,26.0,0.0,0.0,0.0
82bec7fffffffff,84.0,0.0,0.0,0.0
82becffffffffff,437.0,0.0,0.0,0.0
82bedffffffffff,25.0,0.0,0.0,0.0
82bee7fffffffff,2.0,0.0,0.0,0.0
82beeffffffffff,200.0,0.0,0.0,0.0
82c987fffffffff,647.0,0.0,0.0,0.0
82c997fffffffff,2399.0,0.0,0.0,0.0
82c99ffffffffff,230.0,0.0,0.0,0.0
82c9b7fffffffff,413.0,0.0,0.0,0.0
