cell_id,Leptotila plumbeiceps,Leptotila plumbeiceps plumbeiceps/notia,Leptotila plumbeiceps battyi/malae
834522fffffffff,1.0,1.0,0.0
834523fffffffff,4.0,0.0,0.0
834528fffffffff,5.0,5.0,0.0
83452afffffffff,2.0,0.0,0.0
83452efffffffff,5.0,4.0,0.0
834998fffffffff,1.0,1.0,0.0
836684fffffffff,1.0,0.0,1.0
8366a3fffffffff,23.0,0.0,17.0
8366f1fffffffff,5.0,0.0,0.0
8366f5fffffffff,35.0,0.0,0.0
836d30fffffffff,4.0,0.0,0.0
836d31fffffffff,3.0,1.0,0.0
836d34fffffffff,2.0,2.0,0.0
836d35fffffffff,3.0,0.0,0.0
836d36fffffffff,2.0,0.0,0.0
836d61fffffffff,6.0,0.0,0.0
836d68fffffffff,7.0,2.0,0.0
836d69fffffffff,5.0,0.0,0.0
836d6bfffffffff,26.0,0.0,0.0
836d6dfffffffff,15.0,12.0,0.0
836d6efffffffff,4.0,0.0,0.0
