cell_id,Prionops plumatus,Prionops plumatus plumatus,Prionops plumatus [poliocephalus Group]
8454ea9ffffffff,1.0,0.0,0.0
847a413ffffffff,2.0,0.0,2.0
847a459ffffffff,4.0,0.0,1.0
847a481ffffffff,1.0,0.0,0.0
847a48dffffffff,1.0,0.0,0.0
847a615ffffffff,3.0,0.0,0.0
847a61dffffffff,2.0,0.0,0.0
847a651ffffffff,7.0,0.0,0.0
847a6a1ffffffff,9.0,0.0,0.0
847a6e5ffffffff,11.0,0.0,0.0
847a6e9ffffffff,1.0,0.0,0.0
847b597ffffffff,5.0,0.0,0.0
84970c9ffffffff,3.0,0.0,3.0
8497119ffffffff,1.0,0.0,1.0
8497199ffffffff,9.0,0.0,9.0
84972c5ffffffff,3.0,0.0,3.0
84972ebffffffff,4.0,0.0,2.0
8497359ffffffff,2.0,0.0,2.0
8497515ffffffff,1.0,0.0,1.0
8497517ffffffff,2.0,0.0,2.0
84aca03ffffffff,1.0,0.0,0.0
84bcd1bffffffff,2.0,0.0,0.0
84bcd29ffffffff,2.0,0.0,2.0
84bcd63ffffffff,1.0,0.0,1.0
84bcdc3ffffffff,3.0,0.0,0.0
84bcdcdffffffff,7.0,0.0,0.0
