cell_id,Patagioenas maculosa,Patagioenas maculosa albipennis,Patagioenas maculosa maculosa
838b61fffffffff,4.0,2.0,0.0
838e60fffffffff,3.0,0.0,0.0
838e66fffffffff,15.0,12.0,0.0
83a865fffffffff,2.0,0.0,0.0
83a92dfffffffff,3.0,0.0,3.0
83a945fffffffff,2.0,0.0,0.0
83a961fffffffff,42.0,0.0,0.0
83a965fffffffff,2.0,0.0,0.0
83a96afffffffff,1.0,0.0,0.0
83a96cfffffffff,8.0,0.0,0.0
83a96efffffffff,4.0,0.0,0.0
83b243fffffffff,1.0,0.0,0.0
83b246fffffffff,1.0,0.0,1.0
83b248fffffffff,39.0,0.0,0.0
83b249fffffffff,73.0,0.0,0.0
83b24bfffffffff,13.0,0.0,0.0
83b24cfffffffff,7.0,0.0,0.0
83b24dfffffffff,989.0,0.0,0.0
83b25cfffffffff,3.0,0.0,0.0
83b261fffffffff,16.0,0.0,0.0
83b268fffffffff,31.0,0.0,0.0
83b269fffffffff,66.0,0.0,0.0
83b26afffffffff,4.0,0.0,0.0
83b26bfffffffff,148.0,0.0,0.0
83b26cfffffffff,4.0,0.0,0.0
83b26dfffffffff,31.0,0.0,0.0
83b270fffffffff,5.0,0.0,0.0
83b272fffffffff,2.0,0.0,0.0
83b2c1fffffffff,2.0,0.0,2.0
83b2e1fffffffff,3.0,0.0,3.0
83b2ebfffffffff,3.0,0.0,0.0
83b2ecfffffffff,6.0,0.0,6.0
83b2eefffffffff,3.0,0.0,0.0
83b300fffffffff,1.0,1.0,0.0
83b304fffffffff,17.0,0.0,0.0
83b305fffffffff,63.0,9.0,0.0
83b30bfffffffff,48.0,26.0,0.0
83b320fffffffff,3.0,0.0,0.0
83b326fffffffff,2.0,2.0,0.0
83b331fffffffff,2.0,0.0,0.0
83b334fffffffff,2.0,0.0,0.0
83b335fffffffff,4.0,0.0,0.0
83b343fffffffff,2.0,0.0,0.0
83b351fffffffff,2.0,0.0,0.0
83b354fffffffff,3.0,3.0,0.0
83b355fffffffff,9.0,9.0,0.0
83b356fffffffff,4.0,2.0,0.0
83b35cfffffffff,2.0,0.0,2.0
83b35efffffffff,7.0,2.0,0.0
83b36bfffffffff,2.0,0.0,0.0
83b373fffffffff,14.0,2.0,0.0
83c21bfffffffff,9.0,0.0,6.0
83c2c2fffffffff,3.0,0.0,0.0
83c2c5fffffffff,11.0,0.0,11.0
83c2c6fffffffff,2.0,0.0,0.0
83c2c9fffffffff,188.0,0.0,0.0
83c2cbfffffffff,5.0,0.0,0.0
83c2cdfffffffff,129.0,0.0,0.0
83c2d4fffffffff,2.0,0.0,0.0
83c2d8fffffffff,2.0,0.0,0.0
83c2d9fffffffff,2.0,0.0,0.0
83c2dbfffffffff,3.0,0.0,0.0
83c2e3fffffffff,19.0,0.0,0.0
83c2e9fffffffff,58.0,0.0,0.0
83c2ebfffffffff,12.0,0.0,0.0
83c2f3fffffffff,8.0,0.0,0.0
83c34bfffffffff,25.0,0.0,0.0
83ce80fffffffff,4.0,0.0,0.0
83ce82fffffffff,2.0,0.0,0.0
83ce96fffffffff,14.0,0.0,0.0
