cell_id,Rhipidura albiscapa,Rhipidura albiscapa [pelzelni Group],Rhipidura albiscapa keasti,Rhipidura albiscapa alisteri,Rhipidura albiscapa albiscapa,Rhipidura albiscapa preissi,Rhipidura albiscapa albicauda
82be77fffffffff,15138.0,0.0,0.0,429.0,3.0,0.0,0.0
82be8ffffffffff,14169.0,0.0,0.0,797.0,0.0,0.0,0.0
82beaffffffffff,3763.0,0.0,0.0,305.0,0.0,0.0,0.0
82bec7fffffffff,104.0,0.0,0.0,0.0,0.0,0.0,0.0
82becffffffffff,158.0,0.0,0.0,0.0,0.0,0.0,0.0
82bed7fffffffff,159.0,0.0,0.0,5.0,0.0,0.0,0.0
82bedffffffffff,124.0,0.0,0.0,0.0,0.0,0.0,0.0
82bee7fffffffff,830.0,0.0,0.0,17.0,0.0,0.0,0.0
82beeffffffffff,97.0,0.0,0.0,1.0,0.0,0.0,0.0
82bef7fffffffff,3493.0,0.0,0.0,96.0,0.0,0.0,0.0
82bf4ffffffffff,6948.0,0.0,0.0,0.0,1568.0,0.0,0.0
82bf5ffffffffff,83.0,0.0,0.0,0.0,18.0,0.0,0.0
82bf6ffffffffff,790.0,0.0,0.0,0.0,190.0,0.0,0.0
82c987fffffffff,1326.0,0.0,0.0,0.0,0.0,634.0,0.0
82c997fffffffff,2985.0,0.0,0.0,0.0,0.0,650.0,0.0
82c99ffffffffff,382.0,0.0,0.0,0.0,0.0,82.0,0.0
82c9b7fffffffff,802.0,0.0,0.0,0.0,0.0,278.0,0.0
82d897fffffffff,330.0,0.0,0.0,0.0,86.0,0.0,0.0
82d8b7fffffffff,55.0,0.0,0.0,0.0,0.0,0.0,0.0
