cell_id,Ceyx lepidus,Ceyx lepidus uropygialis,Ceyx lepidus lepidus
8272b7fffffffff,1.0,0.0,1.0
827397fffffffff,71.0,55.0,0.0
829547fffffffff,10.0,0.0,8.0
82954ffffffffff,1.0,0.0,1.0
829567fffffffff,4.0,4.0,0.0
82956ffffffffff,43.0,24.0,14.0
