cell_id,Rhipidura semicollaris,Rhipidura semicollaris [semicollaris Group],Rhipidura semicollaris elegantula,Rhipidura semicollaris reichenowi,Rhipidura semicollaris hamadryas,Rhipidura semicollaris squamata/henrici
8472905ffffffff,13.0,0.0,0.0,0.0,0.0,0.0
847290dffffffff,6.0,0.0,0.0,0.0,0.0,0.0
8472917ffffffff,1.0,0.0,0.0,0.0,0.0,0.0
84739a1ffffffff,1.0,0.0,0.0,0.0,0.0,0.0
84739abffffffff,1.0,0.0,0.0,0.0,0.0,0.0
84739b5ffffffff,1.0,0.0,0.0,0.0,0.0,0.0
8494049ffffffff,18.0,0.0,0.0,0.0,0.0,0.0
849404bffffffff,3.0,0.0,0.0,0.0,0.0,0.0
849404dffffffff,14.0,0.0,0.0,0.0,0.0,0.0
8494159ffffffff,3.0,0.0,0.0,0.0,0.0,0.0
8494213ffffffff,16.0,0.0,0.0,0.0,0.0,0.0
849421bffffffff,17.0,0.0,0.0,0.0,0.0,0.0
849421dffffffff,3.0,0.0,0.0,0.0,0.0,0.0
8494227ffffffff,1.0,0.0,0.0,0.0,0.0,0.0
8494231ffffffff,30.0,0.0,0.0,0.0,0.0,0.0
8494235ffffffff,96.0,0.0,0.0,0.0,0.0,0.0
8494237ffffffff,24.0,0.0,0.0,0.0,0.0,0.0
8494239ffffffff,3.0,0.0,0.0,0.0,0.0,0.0
849423dffffffff,2.0,0.0,0.0,0.0,0.0,0.0
8494257ffffffff,7.0,0.0,0.0,0.0,0.0,0.0
8494269ffffffff,4.0,0.0,0.0,0.0,0.0,0.0
8494289ffffffff,9.0,0.0,0.0,0.0,0.0,0.0
84942c1ffffffff,54.0,0.0,0.0,0.0,0.0,0.0
84942c3ffffffff,4.0,0.0,0.0,0.0,0.0,0.0
84942c5ffffffff,7.0,0.0,0.0,0.0,0.0,0.0
84942c7ffffffff,3.0,0.0,0.0,0.0,0.0,0.0
84942c9ffffffff,11.0,0.0,0.0,0.0,0.0,0.0
84942cdffffffff,3.0,0.0,0.0,0.0,0.0,0.0
84942d1ffffffff,5.0,0.0,0.0,0.0,0.0,0.0
84942d3ffffffff,73.0,0.0,0.0,0.0,0.0,0.0
84942d5ffffffff,23.0,0.0,0.0,0.0,0.0,0.0
84942ddffffffff,4.0,0.0,0.0,0.0,0.0,0.0
84942e9ffffffff,1.0,0.0,0.0,0.0,0.0,0.0
8494313ffffffff,10.0,0.0,0.0,0.0,0.0,0.0
8494601ffffffff,79.0,0.0,0.0,0.0,0.0,0.0
8494605ffffffff,10.0,0.0,0.0,0.0,0.0,0.0
8494607ffffffff,2.0,0.0,0.0,0.0,0.0,0.0
849466dffffffff,29.0,0.0,0.0,0.0,0.0,0.0
84950a5ffffffff,12.0,0.0,0.0,0.0,0.0,0.0
8495185ffffffff,4.0,0.0,0.0,0.0,0.0,0.0
84951a7ffffffff,14.0,0.0,0.0,0.0,0.0,0.0
84951abffffffff,24.0,0.0,0.0,0.0,0.0,0.0
84951d1ffffffff,1.0,0.0,0.0,0.0,0.0,0.0
84951ddffffffff,18.0,0.0,0.0,0.0,0.0,0.0
84951e3ffffffff,14.0,0.0,0.0,0.0,0.0,0.0
8495489ffffffff,5.0,0.0,0.0,0.0,0.0,0.0
8495525ffffffff,8.0,0.0,0.0,0.0,0.0,0.0
8495527ffffffff,1.0,0.0,0.0,0.0,0.0,0.0
8495531ffffffff,3.0,0.0,0.0,0.0,0.0,0.0
8495533ffffffff,23.0,0.0,0.0,0.0,0.0,0.0
8495537ffffffff,12.0,0.0,0.0,0.0,0.0,0.0
8495583ffffffff,14.0,0.0,0.0,0.0,0.0,0.0
84955a1ffffffff,17.0,0.0,0.0,0.0,0.0,0.0
84955a3ffffffff,2.0,0.0,0.0,0.0,0.0,0.0
84955b1ffffffff,1.0,0.0,0.0,0.0,0.0,0.0
8495a55ffffffff,12.0,0.0,0.0,0.0,0.0,0.0
8495a91ffffffff,13.0,0.0,0.0,0.0,0.0,0.0
8495a99ffffffff,71.0,0.0,0.0,0.0,0.0,0.0
8495a9bffffffff,38.0,0.0,0.0,0.0,0.0,0.0
8495ad7ffffffff,4.0,0.0,0.0,0.0,0.0,0.0
