cell_id,Fringilla canariensis,Fringilla canariensis canariensis/ombriosa,Fringilla canariensis palmae
823447fffffffff,338.0,208.0,54.0
82344ffffffffff,360.0,275.0,0.0
82346ffffffffff,173.0,153.0,0.0
