cell_id,Nesillas typica,Nesillas typica longicaudata,Nesillas typica [typica Group]
82a207fffffffff,4.0,0.0,0.0
82a217fffffffff,528.0,0.0,467.0
82a227fffffffff,298.0,0.0,261.0
82a237fffffffff,808.0,0.0,696.0
82a2a7fffffffff,7.0,0.0,7.0
82a2affffffffff,3.0,0.0,1.0
82a307fffffffff,10.0,10.0,0.0
82a30ffffffffff,99.0,0.0,96.0
82a31ffffffffff,19.0,0.0,17.0
82a327fffffffff,4.0,4.0,0.0
82a337fffffffff,10.0,9.0,1.0
82a357fffffffff,4.0,0.0,4.0
82a377fffffffff,36.0,0.0,33.0
82a38ffffffffff,21.0,0.0,19.0
82a39ffffffffff,12.0,0.0,12.0
82a3affffffffff,5.0,0.0,5.0
