cell_id,Ptilinopus rivoli,Ptilinopus rivoli prasinorrhous,Ptilinopus rivoli bellus,Ptilinopus rivoli [rivoli Group]
82728ffffffffff,23.0,0.0,2.0,0.0
827297fffffffff,48.0,4.0,0.0,0.0
8272a7fffffffff,340.0,0.0,0.0,0.0
8272d7fffffffff,13.0,0.0,0.0,0.0
8272dffffffffff,221.0,0.0,0.0,0.0
8272f7fffffffff,1.0,0.0,0.0,0.0
82739ffffffffff,48.0,5.0,0.0,0.0
82779ffffffffff,2.0,0.0,0.0,0.0
829547fffffffff,61.0,3.0,0.0,0.0
82956ffffffffff,94.0,9.0,0.0,0.0
829c87fffffffff,20.0,0.0,0.0,0.0
829c8ffffffffff,31.0,0.0,0.0,0.0
829c97fffffffff,4.0,0.0,0.0,0.0
829c9ffffffffff,140.0,0.0,0.0,0.0
829caffffffffff,1.0,0.0,0.0,0.0
829cb7fffffffff,6.0,0.0,0.0,0.0
829cd7fffffffff,77.0,0.0,4.0,0.0
829d9ffffffffff,3.0,0.0,0.0,0.0
