cell_id,Aphelocoma woodhouseii,Aphelocoma woodhouseii [woodhouseii Group],Aphelocoma woodhouseii sumichrasti/remota
8426801ffffffff,79.0,8.0,0.0
8426803ffffffff,9.0,0.0,0.0
8426805ffffffff,26.0,0.0,0.0
8426807ffffffff,4.0,0.0,0.0
842680dffffffff,9.0,0.0,0.0
8426813ffffffff,2992.0,270.0,0.0
8426815ffffffff,7.0,0.0,0.0
8426819ffffffff,943.0,239.0,0.0
842681bffffffff,1213.0,130.0,0.0
8426821ffffffff,6.0,0.0,0.0
8426823ffffffff,43.0,1.0,0.0
8426825ffffffff,6.0,0.0,0.0
8426827ffffffff,5.0,0.0,0.0
8426829ffffffff,20.0,2.0,0.0
842682bffffffff,17.0,1.0,0.0
842682dffffffff,16.0,2.0,0.0
8426831ffffffff,376.0,68.0,0.0
8426833ffffffff,130.0,30.0,0.0
8426835ffffffff,45.0,2.0,0.0
8426837ffffffff,2.0,0.0,0.0
8426839ffffffff,47.0,8.0,0.0
842683bffffffff,79.0,5.0,0.0
842683dffffffff,5.0,0.0,0.0
8426853ffffffff,631.0,31.0,0.0
8426857ffffffff,4.0,4.0,0.0
842685bffffffff,37.0,2.0,0.0
8426865ffffffff,2.0,0.0,0.0
8426867ffffffff,10.0,0.0,0.0
8426881ffffffff,228.0,11.0,0.0
8426883ffffffff,3.0,0.0,0.0
8426885ffffffff,430.0,41.0,0.0
8426887ffffffff,365.0,10.0,0.0
8426889ffffffff,55.0,0.0,0.0
842688bffffffff,2.0,0.0,0.0
842688dffffffff,1262.0,90.0,0.0
8426891ffffffff,227.0,15.0,0.0
8426893ffffffff,68.0,9.0,0.0
8426895ffffffff,2.0,0.0,0.0
8426897ffffffff,16.0,0.0,0.0
8426899ffffffff,33.0,0.0,0.0
842689dffffffff,25.0,0.0,0.0
84268a3ffffffff,18.0,5.0,0.0
84268a5ffffffff,13.0,0.0,0.0
84268a7ffffffff,15.0,2.0,0.0
84268a9ffffffff,49.0,6.0,0.0
84268abffffffff,139.0,11.0,0.0
84268adffffffff,20.0,0.0,0.0
84268b1ffffffff,130.0,11.0,0.0
84268b3ffffffff,43.0,0.0,0.0
84268b5ffffffff,44.0,0.0,0.0
84268b7ffffffff,23.0,2.0,0.0
84268b9ffffffff,158.0,3.0,0.0
84268bbffffffff,334.0,5.0,0.0
84268bdffffffff,44.0,2.0,0.0
84268c1ffffffff,1046.0,125.0,0.0
84268c3ffffffff,2.0,0.0,0.0
84268c5ffffffff,1349.0,86.0,0.0
84268c7ffffffff,4260.0,197.0,0.0
84268cdffffffff,3724.0,143.0,0.0
84268d3ffffffff,1.0,0.0,0.0
84268d7ffffffff,17.0,0.0,0.0
84268e1ffffffff,215.0,43.0,0.0
84268e3ffffffff,202.0,29.0,0.0
84268e5ffffffff,21.0,2.0,0.0
84268e7ffffffff,225.0,25.0,0.0
84268e9ffffffff,4.0,0.0,0.0
84268ebffffffff,8.0,0.0,0.0
84268edffffffff,4.0,0.0,0.0
8426901ffffffff,12.0,0.0,0.0
8426903ffffffff,7.0,0.0,0.0
8426905ffffffff,494.0,0.0,0.0
8426907ffffffff,38.0,0.0,0.0
8426909ffffffff,9.0,0.0,0.0
842690bffffffff,2.0,0.0,0.0
842690dffffffff,344.0,0.0,0.0
8426913ffffffff,18.0,2.0,0.0
8426915ffffffff,31.0,0.0,0.0
8426917ffffffff,23.0,0.0,0.0
8426919ffffffff,4.0,0.0,0.0
842691dffffffff,12.0,0.0,0.0
8426921ffffffff,3.0,0.0,0.0
8426923ffffffff,7.0,0.0,0.0
8426927ffffffff,4.0,0.0,0.0
8426929ffffffff,328.0,0.0,0.0
842692bffffffff,35.0,0.0,0.0
842692dffffffff,5.0,0.0,0.0
8426931ffffffff,4.0,0.0,0.0
8426933ffffffff,8.0,0.0,0.0
8426935ffffffff,12.0,0.0,0.0
8426937ffffffff,5.0,0.0,0.0
8426939ffffffff,15.0,0.0,0.0
842693bffffffff,5.0,0.0,0.0
842693dffffffff,15.0,0.0,0.0
8426945ffffffff,77.0,2.0,0.0
8426947ffffffff,51.0,0.0,0.0
8426951ffffffff,16.0,0.0,0.0
