cell_id,Anous minutus,Anous minutus americanus,Anous minutus melanogenys,Anous minutus [minutus Group]
823c8ffffffffff,1.0,0.0,0.0,0.0
824417fffffffff,385.0,0.0,0.0,0.0
82446ffffffffff,4.0,0.0,0.0,0.0
824507fffffffff,2.0,0.0,0.0,0.0
82451ffffffffff,5.0,0.0,0.0,0.0
824647fffffffff,2.0,0.0,0.0,0.0
82464ffffffffff,51.0,0.0,22.0,0.0
824897fffffffff,7.0,1.0,0.0,0.0
824a4ffffffffff,1.0,0.0,0.0,0.0
824b87fffffffff,11.0,0.0,0.0,0.0
824ba7fffffffff,5.0,0.0,0.0,0.0
824bb7fffffffff,68.0,0.0,0.0,0.0
825d17fffffffff,163.0,0.0,81.0,0.0
825e4ffffffffff,1.0,0.0,0.0,0.0
825e77fffffffff,2.0,0.0,0.0,0.0
826627fffffffff,1.0,0.0,0.0,0.0
82668ffffffffff,1.0,0.0,0.0,0.0
8266a7fffffffff,15.0,0.0,0.0,0.0
8266b7fffffffff,1.0,0.0,0.0,0.0
826747fffffffff,4.0,0.0,0.0,0.0
826757fffffffff,8.0,0.0,0.0,0.0
826777fffffffff,3.0,0.0,0.0,0.0
82679ffffffffff,4.0,0.0,0.0,0.0
8267b7fffffffff,1.0,0.0,0.0,0.0
82680ffffffffff,14.0,0.0,0.0,0.0
82685ffffffffff,2.0,0.0,0.0,0.0
826877fffffffff,2.0,0.0,0.0,0.0
826c67fffffffff,22.0,0.0,0.0,0.0
8272affffffffff,1.0,0.0,0.0,0.0
8272cffffffffff,2.0,0.0,0.0,0.0
82738ffffffffff,6.0,0.0,0.0,0.0
8273affffffffff,5.0,0.0,0.0,0.0
827687fffffffff,2.0,0.0,0.0,0.0
82768ffffffffff,2.0,0.0,0.0,0.0
82769ffffffffff,3.0,0.0,0.0,0.0
827797fffffffff,2.0,0.0,0.0,0.0
82779ffffffffff,1.0,0.0,0.0,0.0
82789ffffffffff,2.0,0.0,0.0,0.0
827d87fffffffff,1.0,0.0,0.0,0.0
8282c7fffffffff,2.0,0.0,0.0,0.0
8282e7fffffffff,2.0,0.0,0.0,0.0
828f2ffffffffff,4.0,0.0,0.0,0.0
829417fffffffff,4.0,0.0,0.0,0.0
829457fffffffff,5.0,0.0,0.0,0.0
8294affffffffff,3.0,0.0,0.0,0.0
8299a7fffffffff,6.0,0.0,0.0,0.0
829a17fffffffff,7.0,0.0,0.0,0.0
829b1ffffffffff,3.0,0.0,0.0,0.0
829b8ffffffffff,7.0,0.0,0.0,0.0
829c5ffffffffff,2.0,0.0,0.0,0.0
829c97fffffffff,5.0,0.0,0.0,0.0
829cb7fffffffff,3.0,0.0,0.0,0.0
829d0ffffffffff,2.0,0.0,0.0,0.0
829d27fffffffff,11.0,0.0,0.0,0.0
829edffffffffff,2.0,0.0,0.0,0.0
82a04ffffffffff,1.0,0.0,0.0,0.0
82a0dffffffffff,3.0,0.0,0.0,1.0
82a117fffffffff,1.0,0.0,0.0,0.0
82b4cffffffffff,2.0,0.0,0.0,0.0
82bb57fffffffff,3.0,0.0,0.0,0.0
82bb5ffffffffff,7.0,0.0,0.0,0.0
82be0ffffffffff,5.0,0.0,0.0,0.0
82be67fffffffff,4.0,0.0,0.0,0.0
82be8ffffffffff,3.0,0.0,0.0,0.0
82beaffffffffff,1.0,0.0,0.0,0.0
82bf8ffffffffff,1.0,0.0,0.0,0.0
