cell_id,Centropus phasianinus,Centropus phasianinus mui,Centropus phasianinus spilopterus,Centropus phasianinus [phasianinus Group]
8494511ffffffff,2.0,0.0,0.0,2.0
84945e5ffffffff,1.0,0.0,0.0,1.0
849480bffffffff,2.0,0.0,0.0,0.0
849c85bffffffff,3.0,0.0,0.0,0.0
849c8b5ffffffff,3.0,0.0,0.0,3.0
849ca65ffffffff,1.0,0.0,0.0,1.0
849cd19ffffffff,1.0,0.0,0.0,0.0
849d9b3ffffffff,2.0,0.0,0.0,0.0
84b8a07ffffffff,1.0,0.0,0.0,1.0
84be089ffffffff,2.0,0.0,0.0,0.0
84be0c3ffffffff,6.0,0.0,0.0,0.0
84be0ddffffffff,5.0,0.0,0.0,0.0
84be0e3ffffffff,2.0,0.0,0.0,0.0
84be185ffffffff,2.0,0.0,0.0,0.0
84be187ffffffff,2.0,0.0,0.0,0.0
84be8d1ffffffff,2.0,0.0,0.0,1.0
84bee17ffffffff,4.0,0.0,0.0,0.0
84bef5dffffffff,2.0,0.0,0.0,0.0
