cell_id,Elaenia martinica,Elaenia martinica [martinica Group],Elaenia martinica [cinerascens Group]
834501fffffffff,3.0,0.0,0.0
834505fffffffff,18.0,0.0,0.0
83450afffffffff,40.0,0.0,40.0
8345a3fffffffff,17.0,0.0,0.0
834cc0fffffffff,1.0,0.0,0.0
834cc5fffffffff,9.0,0.0,0.0
834ce8fffffffff,82.0,0.0,0.0
834ceafffffffff,51.0,3.0,0.0
834cebfffffffff,1.0,0.0,0.0
834d49fffffffff,1.0,0.0,0.0
834d4bfffffffff,1.0,0.0,0.0
835e59fffffffff,2.0,2.0,0.0
835e70fffffffff,6.0,1.0,0.0
835e71fffffffff,13.0,9.0,0.0
836744fffffffff,2.0,0.0,0.0
836746fffffffff,34.0,0.0,0.0
836773fffffffff,30.0,0.0,0.0
836780fffffffff,2.0,0.0,0.0
836783fffffffff,1.0,1.0,0.0
