cell_id,Limosa lapponica,Limosa lapponica [lapponica Group],Limosa lapponica [baueri Group]
820127fffffffff,3.0,0.0,0.0
820137fffffffff,437.0,51.0,0.0
82041ffffffffff,88.0,0.0,0.0
8204cffffffffff,6.0,0.0,0.0
82075ffffffffff,18.0,0.0,0.0
820767fffffffff,7.0,0.0,0.0
820807fffffffff,11.0,0.0,0.0
820817fffffffff,10.0,0.0,0.0
820837fffffffff,8.0,0.0,0.0
820887fffffffff,25.0,0.0,0.0
82088ffffffffff,53.0,7.0,0.0
820897fffffffff,18.0,0.0,0.0
82089ffffffffff,101.0,2.0,0.0
8208cffffffffff,31.0,4.0,0.0
8208d7fffffffff,14.0,0.0,0.0
8208effffffffff,3.0,0.0,0.0
8208f7fffffffff,2.0,0.0,0.0
82094ffffffffff,2.0,0.0,0.0
82095ffffffffff,3.0,0.0,0.0
820987fffffffff,55.0,0.0,0.0
820997fffffffff,123.0,1.0,0.0
82099ffffffffff,16.0,0.0,0.0
8209a7fffffffff,59.0,4.0,0.0
8209affffffffff,2.0,0.0,0.0
820c07fffffffff,2.0,0.0,0.0
820c17fffffffff,2279.0,0.0,0.0
820c1ffffffffff,116.0,0.0,0.0
820c37fffffffff,272.0,0.0,0.0
820c8ffffffffff,1.0,0.0,0.0
820ca7fffffffff,14.0,0.0,0.0
820caffffffffff,11.0,0.0,0.0
820cc7fffffffff,2.0,0.0,0.0
820cdffffffffff,25.0,0.0,0.0
820ce7fffffffff,4.0,0.0,0.0
820ceffffffffff,35.0,0.0,0.0
820cf7fffffffff,3.0,0.0,0.0
820d07fffffffff,25.0,0.0,2.0
820d0ffffffffff,153.0,0.0,22.0
820d77fffffffff,20.0,0.0,0.0
821027fffffffff,1.0,0.0,0.0
821107fffffffff,4.0,0.0,0.0
821127fffffffff,11.0,0.0,0.0
821137fffffffff,1.0,0.0,0.0
821157fffffffff,9.0,0.0,0.0
821597fffffffff,3.0,0.0,3.0
821657fffffffff,49.0,0.0,0.0
82165ffffffffff,9.0,0.0,0.0
82171ffffffffff,28.0,0.0,0.0
82178ffffffffff,54.0,0.0,0.0
821807fffffffff,86.0,0.0,0.0
82180ffffffffff,2.0,0.0,0.0
821827fffffffff,46.0,0.0,0.0
82182ffffffffff,621.0,2.0,0.0
821847fffffffff,140.0,14.0,0.0
82184ffffffffff,2464.0,24.0,0.0
82185ffffffffff,314.0,0.0,0.0
821867fffffffff,40.0,11.0,0.0
82186ffffffffff,47.0,0.0,0.0
821877fffffffff,145.0,11.0,0.0
82190ffffffffff,77.0,19.0,0.0
821927fffffffff,2.0,0.0,0.0
82192ffffffffff,182.0,107.0,0.0
821947fffffffff,1885.0,316.0,0.0
82194ffffffffff,997.0,203.0,0.0
821957fffffffff,264.0,38.0,0.0
82195ffffffffff,515.0,21.0,0.0
