cell_id,Illadopsis fulvescens,Illadopsis fulvescens moloneyana/iboensis,Illadopsis fulvescens [fulvescens Group]
8354ccfffffffff,1.0,0.0,0.0
8354f4fffffffff,5.0,0.0,3.0
835883fffffffff,1.0,0.0,0.0
835890fffffffff,8.0,0.0,0.0
835894fffffffff,1.0,0.0,0.0
835895fffffffff,2.0,0.0,0.0
835896fffffffff,27.0,0.0,0.0
8358c8fffffffff,1.0,0.0,0.0
8358d2fffffffff,7.0,0.0,0.0
8358d3fffffffff,23.0,0.0,0.0
836a82fffffffff,1.0,0.0,0.0
836a9afffffffff,2.0,0.0,0.0
836a9efffffffff,6.0,0.0,0.0
836ac0fffffffff,48.0,0.0,7.0
836ac1fffffffff,216.0,0.0,42.0
836ac3fffffffff,6.0,0.0,0.0
836ac8fffffffff,4.0,0.0,2.0
836acafffffffff,1.0,0.0,0.0
836accfffffffff,1.0,0.0,0.0
836acdfffffffff,26.0,0.0,3.0
836adcfffffffff,51.0,0.0,7.0
836aeafffffffff,75.0,0.0,7.0
836aedfffffffff,1.0,0.0,0.0
837501fffffffff,2.0,0.0,0.0
837508fffffffff,10.0,0.0,0.0
83750cfffffffff,2.0,0.0,0.0
83750dfffffffff,78.0,0.0,0.0
837520fffffffff,2.0,0.0,0.0
837529fffffffff,39.0,0.0,0.0
83752afffffffff,11.0,0.0,0.0
83752bfffffffff,3.0,0.0,0.0
83752dfffffffff,5.0,0.0,0.0
83752efffffffff,2.0,0.0,0.0
837576fffffffff,1.0,0.0,0.0
837581fffffffff,1.0,0.0,0.0
837586fffffffff,4.0,0.0,0.0
8375a3fffffffff,7.0,0.0,0.0
8375a8fffffffff,3.0,0.0,0.0
8375b0fffffffff,5.0,0.0,0.0
837a4cfffffffff,43.0,0.0,0.0
837a4dfffffffff,14.0,0.0,0.0
838212fffffffff,13.0,0.0,0.0
838284fffffffff,3.0,0.0,0.0
838289fffffffff,1.0,0.0,0.0
83828afffffffff,1.0,0.0,0.0
83828dfffffffff,148.0,0.0,0.0
838290fffffffff,7.0,0.0,0.0
838295fffffffff,1.0,0.0,0.0
8382a3fffffffff,3.0,0.0,0.0
8382a8fffffffff,2.0,0.0,0.0
8382aafffffffff,5.0,0.0,0.0
8382abfffffffff,9.0,0.0,0.0
8382d2fffffffff,6.0,0.0,0.0
8382d4fffffffff,3.0,0.0,0.0
838312fffffffff,7.0,0.0,0.0
838313fffffffff,2.0,0.0,0.0
838315fffffffff,11.0,0.0,4.0
838392fffffffff,1.0,0.0,0.0
8383a8fffffffff,3.0,0.0,2.0
8383acfffffffff,2.0,0.0,0.0
