cell_id,Zosterops minor,Zosterops minor [chrysolaemus Group],Zosterops minor minor/rothschildi
827287fffffffff,1.0,1.0,0.0
82728ffffffffff,7.0,0.0,4.0
8272a7fffffffff,134.0,24.0,0.0
8272b7fffffffff,1.0,0.0,0.0
8272d7fffffffff,54.0,6.0,0.0
8272dffffffffff,128.0,0.0,0.0
8272f7fffffffff,4.0,0.0,0.0
829c87fffffffff,6.0,0.0,0.0
829c8ffffffffff,11.0,0.0,0.0
829c9ffffffffff,64.0,0.0,0.0
829caffffffffff,170.0,26.0,0.0
829cb7fffffffff,27.0,0.0,0.0
829cd7fffffffff,5.0,0.0,0.0
