cell_id,Dicrurus modestus,Dicrurus modestus atactus,Dicrurus modestus modestus,Dicrurus modestus coracinus
8458833ffffffff,1.0,0.0,0.0,0.0
8458839ffffffff,9.0,0.0,0.0,0.0
8458969ffffffff,7.0,7.0,0.0,0.0
8458c3dffffffff,3.0,0.0,0.0,0.0
8458d23ffffffff,5.0,0.0,0.0,0.0
8458d33ffffffff,8.0,0.0,0.0,8.0
8458d35ffffffff,1.0,0.0,0.0,0.0
8458d37ffffffff,8.0,0.0,0.0,6.0
8458d81ffffffff,1.0,0.0,0.0,0.0
8458de5ffffffff,6.0,0.0,0.0,6.0
8458f47ffffffff,1.0,0.0,0.0,0.0
846a9e5ffffffff,14.0,0.0,0.0,0.0
846ac03ffffffff,33.0,0.0,0.0,0.0
846ac0bffffffff,13.0,0.0,0.0,0.0
846ac15ffffffff,101.0,0.0,0.0,0.0
846ac1dffffffff,1.0,0.0,0.0,0.0
846ac31ffffffff,2.0,0.0,0.0,0.0
846ac39ffffffff,2.0,0.0,0.0,0.0
846acc3ffffffff,1.0,0.0,0.0,0.0
846acd5ffffffff,76.0,0.0,0.0,8.0
846ace5ffffffff,5.0,0.0,0.0,0.0
846ada9ffffffff,2.0,0.0,0.0,0.0
846adc1ffffffff,35.0,0.0,0.0,0.0
846aeb7ffffffff,1.0,0.0,0.0,0.0
8475085ffffffff,30.0,30.0,0.0,0.0
8475087ffffffff,6.0,6.0,0.0,0.0
84750c9ffffffff,2.0,2.0,0.0,0.0
84750cdffffffff,2.0,2.0,0.0,0.0
84750d1ffffffff,588.0,578.0,0.0,0.0
84750d5ffffffff,4.0,4.0,0.0,0.0
84750d7ffffffff,4.0,4.0,0.0,0.0
84750d9ffffffff,14.0,14.0,0.0,0.0
84750dbffffffff,3.0,3.0,0.0,0.0
84750ddffffffff,16.0,16.0,0.0,0.0
847518dffffffff,1.0,1.0,0.0,0.0
8475191ffffffff,1.0,1.0,0.0,0.0
84751d7ffffffff,1.0,1.0,0.0,0.0
8475201ffffffff,11.0,11.0,0.0,0.0
8475203ffffffff,2.0,2.0,0.0,0.0
8475207ffffffff,2.0,2.0,0.0,0.0
8475209ffffffff,2.0,2.0,0.0,0.0
847520bffffffff,1.0,1.0,0.0,0.0
8475295ffffffff,191.0,189.0,0.0,0.0
847529bffffffff,8.0,8.0,0.0,0.0
84752a1ffffffff,1.0,1.0,0.0,0.0
84752a3ffffffff,2.0,2.0,0.0,0.0
84752a5ffffffff,4.0,4.0,0.0,0.0
84752abffffffff,182.0,178.0,0.0,0.0
84752adffffffff,13.0,13.0,0.0,0.0
84752b5ffffffff,90.0,90.0,0.0,0.0
84752b7ffffffff,1.0,1.0,0.0,0.0
84752d3ffffffff,11.0,11.0,0.0,0.0
84752dbffffffff,1.0,1.0,0.0,0.0
84752e9ffffffff,4.0,4.0,0.0,0.0
84752edffffffff,2.0,2.0,0.0,0.0
8475765ffffffff,1.0,1.0,0.0,0.0
8475769ffffffff,2.0,2.0,0.0,0.0
847584dffffffff,1.0,1.0,0.0,0.0
8475863ffffffff,1.0,1.0,0.0,0.0
8475a07ffffffff,1.0,1.0,0.0,0.0
8475a81ffffffff,2.0,2.0,0.0,0.0
8475a83ffffffff,3.0,3.0,0.0,0.0
8475b05ffffffff,1.0,1.0,0.0,0.0
8475b0dffffffff,1.0,1.0,0.0,0.0
8475b29ffffffff,1.0,1.0,0.0,0.0
8475b47ffffffff,1.0,1.0,0.0,0.0
8482125ffffffff,4.0,0.0,0.0,0.0
8482819ffffffff,1.0,0.0,0.0,0.0
8482841ffffffff,1.0,0.0,0.0,0.0
8482853ffffffff,5.0,0.0,0.0,0.0
8482859ffffffff,3.0,0.0,0.0,0.0
84828b5ffffffff,1.0,0.0,0.0,0.0
84828bdffffffff,4.0,0.0,0.0,0.0
84828d1ffffffff,60.0,0.0,0.0,0.0
8482a09ffffffff,4.0,0.0,0.0,0.0
8482a37ffffffff,14.0,0.0,0.0,0.0
8482a55ffffffff,1.0,0.0,0.0,0.0
8482a81ffffffff,25.0,0.0,0.0,0.0
8482a83ffffffff,7.0,0.0,0.0,1.0
8482aadffffffff,3.0,0.0,0.0,0.0
8482ab7ffffffff,2.0,0.0,0.0,0.0
8482c0dffffffff,25.0,0.0,13.0,0.0
8482d1dffffffff,28.0,0.0,0.0,26.0
8482d27ffffffff,3.0,0.0,0.0,0.0
8482d3dffffffff,5.0,0.0,0.0,5.0
8482d45ffffffff,1.0,0.0,0.0,0.0
8482d4dffffffff,1.0,0.0,0.0,0.0
8483117ffffffff,2.0,0.0,0.0,0.0
8483137ffffffff,1.0,0.0,0.0,1.0
84831e5ffffffff,2.0,0.0,0.0,2.0
84831e7ffffffff,3.0,0.0,0.0,3.0
8483a89ffffffff,5.0,0.0,0.0,0.0
8483ac3ffffffff,12.0,0.0,0.0,2.0
8483ac7ffffffff,2.0,0.0,0.0,2.0
