cell_id,Icteria virens,Icteria virens virens,Icteria virens auricollis
831259fffffffff,2.0,0.0,0.0
8312c2fffffffff,2.0,0.0,0.0
8312c8fffffffff,2.0,0.0,0.0
8312c9fffffffff,24.0,0.0,0.0
8312d1fffffffff,11.0,0.0,0.0
8312d3fffffffff,6.0,0.0,0.0
8312d8fffffffff,49.0,0.0,0.0
8312dafffffffff,105.0,0.0,0.0
8312dbfffffffff,84.0,0.0,0.0
8312defffffffff,779.0,0.0,0.0
8312ebfffffffff,8.0,0.0,0.0
832600fffffffff,3.0,0.0,0.0
832601fffffffff,4.0,0.0,0.0
832602fffffffff,10.0,0.0,0.0
832603fffffffff,14.0,0.0,0.0
832605fffffffff,3.0,0.0,0.0
832608fffffffff,2.0,0.0,0.0
832609fffffffff,41.0,0.0,0.0
83260bfffffffff,57.0,0.0,0.0
832610fffffffff,113.0,0.0,0.0
832611fffffffff,99.0,0.0,0.0
832612fffffffff,106.0,0.0,0.0
832613fffffffff,2.0,0.0,0.0
832614fffffffff,5.0,0.0,0.0
832615fffffffff,14.0,0.0,0.0
832616fffffffff,46.0,0.0,0.0
832619fffffffff,2.0,0.0,0.0
83261afffffffff,3.0,0.0,0.0
83261bfffffffff,5.0,0.0,0.0
83261cfffffffff,8.0,0.0,0.0
83261efffffffff,4.0,0.0,0.0
832622fffffffff,2.0,0.0,0.0
832630fffffffff,2.0,0.0,0.0
832632fffffffff,2.0,0.0,0.0
832633fffffffff,30.0,0.0,0.0
832634fffffffff,2.0,0.0,0.0
832636fffffffff,75.0,0.0,0.0
832640fffffffff,154.0,0.0,0.0
832641fffffffff,912.0,0.0,0.0
832642fffffffff,786.0,0.0,0.0
832643fffffffff,1018.0,0.0,0.0
832644fffffffff,28.0,0.0,0.0
832645fffffffff,34.0,0.0,0.0
832646fffffffff,1606.0,0.0,0.0
832648fffffffff,716.0,0.0,0.0
832649fffffffff,394.0,0.0,0.0
83264afffffffff,531.0,0.0,0.0
83264bfffffffff,305.0,0.0,0.0
83264cfffffffff,634.0,0.0,0.0
83264dfffffffff,718.0,0.0,0.0
83264efffffffff,383.0,0.0,0.0
832650fffffffff,391.0,0.0,0.0
832651fffffffff,433.0,0.0,0.0
832652fffffffff,444.0,0.0,0.0
832653fffffffff,607.0,0.0,0.0
832654fffffffff,233.0,0.0,0.0
832655fffffffff,1616.0,0.0,0.0
832656fffffffff,571.0,0.0,0.0
832658fffffffff,100.0,0.0,0.0
832659fffffffff,745.0,0.0,0.0
83265afffffffff,205.0,0.0,0.0
83265bfffffffff,758.0,0.0,0.0
83265cfffffffff,695.0,0.0,0.0
83265dfffffffff,493.0,0.0,0.0
83265efffffffff,499.0,0.0,0.0
832660fffffffff,147.0,0.0,0.0
832661fffffffff,578.0,0.0,0.0
832662fffffffff,200.0,0.0,0.0
832663fffffffff,64.0,0.0,0.0
832664fffffffff,625.0,0.0,0.0
832665fffffffff,163.0,0.0,0.0
832666fffffffff,355.0,0.0,0.0
832668fffffffff,426.0,0.0,0.0
832669fffffffff,135.0,0.0,0.0
83266afffffffff,463.0,0.0,0.0
83266bfffffffff,334.0,0.0,0.0
83266cfffffffff,736.0,0.0,0.0
83266dfffffffff,822.0,0.0,0.0
83266efffffffff,875.0,0.0,0.0
832670fffffffff,92.0,0.0,0.0
832671fffffffff,200.0,0.0,0.0
832672fffffffff,79.0,0.0,0.0
832673fffffffff,213.0,0.0,0.0
832675fffffffff,34.0,0.0,0.0
832676fffffffff,2.0,0.0,0.0
832680fffffffff,15.0,0.0,0.0
832681fffffffff,2747.0,0.0,0.0
832682fffffffff,25.0,0.0,0.0
832683fffffffff,40.0,0.0,0.0
832685fffffffff,291.0,0.0,0.0
832688fffffffff,1559.0,0.0,0.0
832689fffffffff,252.0,0.0,0.0
83268afffffffff,21.0,0.0,0.0
83268bfffffffff,315.0,0.0,0.0
83268cfffffffff,3097.0,0.0,0.0
83268dfffffffff,236.0,0.0,0.0
83268efffffffff,27.0,0.0,0.0
832690fffffffff,146.0,0.0,0.0
832691fffffffff,238.0,0.0,0.0
832692fffffffff,138.0,0.0,0.0
832693fffffffff,9.0,0.0,0.0
832694fffffffff,30.0,0.0,0.0
832695fffffffff,112.0,0.0,0.0
832696fffffffff,352.0,0.0,0.0
832698fffffffff,874.0,0.0,0.0
832699fffffffff,68.0,0.0,0.0
83269afffffffff,120.0,0.0,0.0
83269bfffffffff,122.0,0.0,0.0
83269cfffffffff,946.0,0.0,0.0
83269dfffffffff,88.0,0.0,0.0
83269efffffffff,933.0,0.0,1.0
8326a0fffffffff,5.0,0.0,0.0
8326a1fffffffff,225.0,0.0,4.0
8326a2fffffffff,19.0,0.0,0.0
8326a3fffffffff,56.0,0.0,0.0
8326a4fffffffff,1.0,0.0,0.0
8326a5fffffffff,518.0,0.0,0.0
8326a6fffffffff,1.0,0.0,0.0
8326a8fffffffff,403.0,0.0,0.0
8326a9fffffffff,86.0,0.0,0.0
8326aafffffffff,841.0,0.0,0.0
8326abfffffffff,164.0,0.0,0.0
8326acfffffffff,167.0,0.0,4.0
8326adfffffffff,41.0,0.0,0.0
8326aefffffffff,164.0,0.0,5.0
8326b0fffffffff,24.0,0.0,0.0
8326b1fffffffff,9.0,0.0,0.0
8326b2fffffffff,1.0,0.0,0.0
8326b3fffffffff,5.0,0.0,0.0
8326b5fffffffff,13.0,0.0,0.0
8326b6fffffffff,9.0,0.0,0.0
8326c1fffffffff,19.0,0.0,0.0
8326c2fffffffff,1.0,0.0,0.0
8326c3fffffffff,8.0,0.0,0.0
8326c4fffffffff,1.0,0.0,0.0
8326c5fffffffff,15.0,0.0,0.0
8326c8fffffffff,71.0,0.0,0.0
8326c9fffffffff,127.0,0.0,0.0
8326cafffffffff,38.0,0.0,0.0
8326cbfffffffff,70.0,0.0,0.0
8326ccfffffffff,9.0,0.0,0.0
8326cdfffffffff,47.0,0.0,0.0
8326d0fffffffff,3.0,0.0,0.0
8326d1fffffffff,13.0,0.0,0.0
8326d2fffffffff,81.0,0.0,0.0
8326d3fffffffff,20.0,0.0,0.0
8326d4fffffffff,188.0,0.0,0.0
8326d6fffffffff,50.0,0.0,0.0
8326d8fffffffff,4.0,0.0,0.0
8326d9fffffffff,19.0,0.0,0.0
8326dafffffffff,9.0,0.0,0.0
8326dbfffffffff,26.0,0.0,0.0
8326dcfffffffff,5.0,0.0,0.0
8326ddfffffffff,2.0,0.0,0.0
8326defffffffff,46.0,0.0,0.0
8326e0fffffffff,6.0,0.0,0.0
8326e1fffffffff,6.0,0.0,0.0
8326e2fffffffff,34.0,0.0,0.0
8326e3fffffffff,4.0,0.0,0.0
8326e4fffffffff,10.0,0.0,0.0
8326e5fffffffff,462.0,0.0,0.0
8326e6fffffffff,28.0,0.0,0.0
8326e8fffffffff,77.0,0.0,0.0
8326e9fffffffff,329.0,0.0,0.0
8326eafffffffff,20.0,0.0,0.0
8326ebfffffffff,33.0,0.0,0.0
8326ecfffffffff,269.0,0.0,0.0
8326edfffffffff,501.0,0.0,0.0
8326eefffffffff,47.0,0.0,0.0
8326f0fffffffff,77.0,0.0,0.0
8326f1fffffffff,5.0,0.0,0.0
8326f2fffffffff,464.0,0.0,0.0
8326f3fffffffff,18.0,0.0,0.0
8326f4fffffffff,4.0,0.0,0.0
8326f5fffffffff,5.0,0.0,0.0
8326f6fffffffff,34.0,0.0,0.0
832748fffffffff,6.0,0.0,0.0
832749fffffffff,107.0,0.0,0.0
83274afffffffff,14.0,0.0,0.0
83274bfffffffff,174.0,0.0,0.0
832759fffffffff,351.0,0.0,0.0
83275bfffffffff,91.0,0.0,0.0
832780fffffffff,34.0,0.0,0.0
832781fffffffff,37.0,0.0,0.0
832782fffffffff,37.0,0.0,0.0
832783fffffffff,2.0,0.0,0.0
832784fffffffff,5.0,0.0,0.0
832785fffffffff,17.0,0.0,0.0
832786fffffffff,25.0,0.0,0.0
832788fffffffff,37.0,0.0,0.0
83278afffffffff,4.0,0.0,0.0
83278bfffffffff,34.0,0.0,0.0
83278cfffffffff,657.0,0.0,0.0
83278dfffffffff,9.0,0.0,0.0
83278efffffffff,33.0,0.0,0.0
832790fffffffff,38.0,0.0,0.0
832791fffffffff,5.0,0.0,0.0
832792fffffffff,37.0,0.0,0.0
832793fffffffff,9.0,0.0,0.0
832794fffffffff,5.0,0.0,0.0
832795fffffffff,215.0,0.0,0.0
832796fffffffff,2.0,0.0,0.0
832798fffffffff,193.0,0.0,0.0
832799fffffffff,33.0,0.0,0.0
83279afffffffff,65.0,0.0,0.0
83279bfffffffff,12.0,0.0,0.0
83279cfffffffff,140.0,0.0,0.0
83279dfffffffff,33.0,0.0,0.0
83279efffffffff,323.0,0.0,0.0
8327a0fffffffff,6.0,0.0,0.0
8327a3fffffffff,4.0,0.0,0.0
8327a6fffffffff,26.0,0.0,0.0
8327a8fffffffff,52.0,0.0,0.0
8327a9fffffffff,45.0,0.0,0.0
8327aafffffffff,216.0,0.0,0.0
8327abfffffffff,26.0,0.0,0.0
8327acfffffffff,21.0,0.0,0.0
8327aefffffffff,5.0,0.0,0.0
8327b1fffffffff,1.0,0.0,0.0
8327b2fffffffff,30.0,0.0,0.0
8327b4fffffffff,1.0,0.0,0.0
8327b5fffffffff,16.0,0.0,0.0
8327b6fffffffff,147.0,0.0,0.0
832800fffffffff,3.0,0.0,0.0
832802fffffffff,1046.0,0.0,0.0
832803fffffffff,2.0,0.0,0.0
832806fffffffff,321.0,0.0,0.0
832810fffffffff,4.0,0.0,0.0
832811fffffffff,267.0,0.0,0.0
832812fffffffff,32.0,0.0,0.0
832814fffffffff,309.0,0.0,0.0
832815fffffffff,193.0,0.0,0.0
832816fffffffff,39.0,0.0,0.0
832818fffffffff,227.0,0.0,14.0
832819fffffffff,2.0,0.0,0.0
83281afffffffff,86.0,0.0,0.0
83281bfffffffff,576.0,0.0,0.0
83281cfffffffff,203.0,0.0,2.0
83281dfffffffff,20.0,0.0,0.0
83281efffffffff,735.0,0.0,0.0
832830fffffffff,157.0,0.0,0.0
832831fffffffff,58.0,0.0,0.0
832832fffffffff,2064.0,0.0,0.0
832833fffffffff,110.0,0.0,0.0
832834fffffffff,12.0,0.0,0.0
832835fffffffff,148.0,0.0,0.0
832836fffffffff,148.0,0.0,0.0
832880fffffffff,151.0,0.0,0.0
832881fffffffff,153.0,0.0,0.0
832882fffffffff,8.0,0.0,0.0
832883fffffffff,45.0,0.0,0.0
832884fffffffff,1600.0,0.0,0.0
832885fffffffff,310.0,0.0,0.0
832886fffffffff,20.0,0.0,0.0
832888fffffffff,822.0,0.0,0.0
832889fffffffff,1097.0,0.0,0.0
83288afffffffff,221.0,0.0,0.0
83288bfffffffff,106.0,0.0,0.0
83288cfffffffff,139.0,0.0,0.0
83288dfffffffff,320.0,0.0,0.0
83288efffffffff,375.0,0.0,0.0
832890fffffffff,1.0,0.0,0.0
832891fffffffff,26.0,0.0,0.0
832892fffffffff,12.0,0.0,0.0
832893fffffffff,112.0,0.0,0.0
832894fffffffff,50.0,0.0,0.0
832895fffffffff,5.0,0.0,0.0
832896fffffffff,2.0,0.0,0.0
832898fffffffff,65.0,0.0,0.0
83289dfffffffff,87.0,0.0,0.0
83289efffffffff,6.0,0.0,0.0
