cell_id,Himantopus mexicanus,Himantopus mexicanus mexicanus,Himantopus mexicanus knudseni,Himantopus mexicanus melanurus,Himantopus mexicanus mexicanus x melanurus
821257fffffffff,199.0,31.0,0.0,0.0,0.0
82125ffffffffff,90.0,1.0,0.0,0.0,0.0
8212c7fffffffff,35.0,0.0,0.0,0.0,0.0
8212cffffffffff,4759.0,78.0,0.0,0.0,0.0
8212d7fffffffff,76.0,0.0,0.0,0.0,0.0
8212dffffffffff,286.0,8.0,0.0,0.0,0.0
8212e7fffffffff,15.0,0.0,0.0,0.0,0.0
8212effffffffff,2030.0,31.0,0.0,0.0,0.0
822607fffffffff,11.0,0.0,0.0,0.0,0.0
82260ffffffffff,197.0,2.0,0.0,0.0,0.0
822617fffffffff,7.0,2.0,0.0,0.0,0.0
822627fffffffff,2.0,0.0,0.0,0.0,0.0
822637fffffffff,12.0,0.0,0.0,0.0,0.0
822647fffffffff,887.0,59.0,0.0,0.0,0.0
82264ffffffffff,374.0,0.0,0.0,0.0,0.0
822657fffffffff,58.0,10.0,0.0,0.0,0.0
82265ffffffffff,2588.0,35.0,0.0,0.0,0.0
822667fffffffff,56.0,0.0,0.0,0.0,0.0
82266ffffffffff,1743.0,67.0,0.0,0.0,0.0
822677fffffffff,1272.0,99.0,0.0,0.0,0.0
822687fffffffff,734.0,9.0,0.0,0.0,0.0
82268ffffffffff,1497.0,0.0,0.0,0.0,0.0
822697fffffffff,7218.0,2053.0,0.0,0.0,0.0
82269ffffffffff,297.0,4.0,0.0,0.0,0.0
8226a7fffffffff,64.0,9.0,0.0,0.0,0.0
8226affffffffff,2629.0,6.0,0.0,0.0,0.0
8226b7fffffffff,145.0,6.0,0.0,0.0,0.0
8226c7fffffffff,137.0,4.0,0.0,0.0,0.0
8226cffffffffff,1623.0,13.0,0.0,0.0,0.0
8226d7fffffffff,338.0,19.0,0.0,0.0,0.0
8226dffffffffff,1470.0,142.0,0.0,0.0,0.0
8226e7fffffffff,2967.0,76.0,0.0,0.0,0.0
8226effffffffff,5.0,3.0,0.0,0.0,0.0
8226f7fffffffff,508.0,2.0,0.0,0.0,0.0
822747fffffffff,2.0,0.0,0.0,0.0,0.0
82275ffffffffff,1416.0,51.0,0.0,0.0,0.0
822787fffffffff,583.0,17.0,0.0,0.0,0.0
822797fffffffff,830.0,15.0,0.0,0.0,0.0
82279ffffffffff,218.0,8.0,0.0,0.0,0.0
8227a7fffffffff,154.0,0.0,0.0,0.0,0.0
8227affffffffff,21.0,2.0,0.0,0.0,0.0
