cell_id,Uropsila leucogastra,Uropsila leucogastra [leucogastra Group],Uropsila leucogastra pacifica
84450e3ffffffff,1.0,1.0,0.0
8445281ffffffff,8.0,8.0,0.0
8445287ffffffff,2.0,0.0,0.0
84452e1ffffffff,2.0,0.0,0.0
84452e5ffffffff,1.0,0.0,0.0
8445353ffffffff,10.0,3.0,0.0
8445727ffffffff,1.0,0.0,0.0
8449961ffffffff,7.0,3.0,0.0
8449967ffffffff,4.0,0.0,0.0
8449a2bffffffff,1.0,0.0,1.0
8449a89ffffffff,3.0,0.0,1.0
8449a93ffffffff,2.0,0.0,2.0
846d20bffffffff,2.0,0.0,0.0
846d21dffffffff,2.0,0.0,0.0
846d2c9ffffffff,3.0,0.0,0.0
846d305ffffffff,3.0,0.0,0.0
846d30dffffffff,2.0,0.0,0.0
846d34dffffffff,4.0,0.0,0.0
846d369ffffffff,2.0,0.0,0.0
