cell_id,Ramphastos ambiguus,Ramphastos ambiguus swainsonii,Ramphastos ambiguus ambiguus/abbreviatus
83660afffffffff,2.0,2.0,0.0
83660efffffffff,3.0,3.0,0.0
836610fffffffff,2.0,2.0,0.0
836611fffffffff,5.0,5.0,0.0
836619fffffffff,2.0,2.0,0.0
83661cfffffffff,12.0,9.0,0.0
83661dfffffffff,3.0,0.0,0.0
836629fffffffff,4.0,0.0,0.0
83662dfffffffff,1.0,0.0,0.0
83662efffffffff,3.0,0.0,0.0
8366a0fffffffff,33.0,5.0,0.0
8366a1fffffffff,5.0,0.0,0.0
8366a2fffffffff,3.0,0.0,0.0
8366a5fffffffff,15.0,7.0,0.0
8366b0fffffffff,543.0,543.0,0.0
8366b1fffffffff,1.0,1.0,0.0
8366b4fffffffff,240.0,237.0,0.0
8366b5fffffffff,265.0,247.0,0.0
8366b6fffffffff,38.0,36.0,0.0
8366c2fffffffff,28.0,0.0,2.0
8366c6fffffffff,1.0,0.0,0.0
8366d3fffffffff,14.0,8.0,0.0
8366defffffffff,11.0,0.0,3.0
8366f0fffffffff,13.0,6.0,4.0
836796fffffffff,8.0,0.0,0.0
83679afffffffff,836.0,824.0,0.0
83679bfffffffff,69.0,68.0,0.0
836d61fffffffff,2.0,0.0,0.0
836d68fffffffff,98.0,97.0,0.0
836d69fffffffff,1187.0,1162.0,0.0
836d6dfffffffff,43.0,39.0,0.0
838f0dfffffffff,10.0,3.0,0.0
