cell_id,Tychaedon quadrivirgata,Tychaedon quadrivirgata quadrivirgata,Tychaedon quadrivirgata greenwayi
847a603ffffffff,2.0,0.0,0.0
847a63bffffffff,1.0,0.0,0.0
847a751ffffffff,1.0,0.0,0.0
847b48dffffffff,1.0,0.0,1.0
847b4c1ffffffff,4.0,0.0,0.0
847b4c5ffffffff,11.0,0.0,1.0
847b4c7ffffffff,21.0,0.0,9.0
847b4cbffffffff,10.0,0.0,0.0
847b4ebffffffff,2.0,0.0,0.0
847b591ffffffff,3.0,3.0,0.0
849693dffffffff,2.0,0.0,0.0
8497139ffffffff,3.0,3.0,0.0
84bcd09ffffffff,1.0,0.0,0.0
84bcd21ffffffff,5.0,0.0,0.0
84bcd27ffffffff,1.0,0.0,0.0
84bcd29ffffffff,34.0,1.0,0.0
84bcd2bffffffff,1.0,0.0,0.0
84bcd63ffffffff,6.0,2.0,0.0
