cell_id,Certhilauda curvirostris,Certhilauda curvirostris curvirostris/falcirostris,Certhilauda curvirostris brevirostris
84ad12bffffffff,3.0,3.0,0.0
84ad321ffffffff,108.0,101.0,0.0
84ad325ffffffff,1.0,1.0,0.0
84ad329ffffffff,38.0,29.0,0.0
84ad32dffffffff,13.0,11.0,0.0
84ad367ffffffff,4.0,4.0,0.0
84ada1bffffffff,2.0,2.0,0.0
84ada89ffffffff,2.0,2.0,0.0
84adac3ffffffff,6.0,6.0,0.0
84adacbffffffff,60.0,58.0,0.0
84adacdffffffff,3.0,3.0,0.0
84adb53ffffffff,1.0,1.0,0.0
84bc453ffffffff,11.0,0.0,10.0
84bc493ffffffff,1.0,1.0,0.0
84bc497ffffffff,1.0,1.0,0.0
84bc49bffffffff,15.0,15.0,0.0
84bc4d3ffffffff,1.0,1.0,0.0
84bc4dbffffffff,2.0,2.0,0.0
84bc683ffffffff,41.0,0.0,41.0
84bc687ffffffff,124.0,0.0,115.0
84bc695ffffffff,3.0,0.0,3.0
84bc697ffffffff,1.0,0.0,1.0
84bc6a1ffffffff,3.0,0.0,3.0
84bc6a3ffffffff,24.0,0.0,24.0
84bc6a5ffffffff,2.0,0.0,2.0
84bc6abffffffff,150.0,0.0,138.0
84bc6adffffffff,5.0,0.0,5.0
84bc6b9ffffffff,7.0,0.0,7.0
84bc6bbffffffff,4.0,0.0,4.0
84bc6bdffffffff,88.0,0.0,86.0
