cell_id,Campethera maculosa,Campethera maculosa maculosa,Campethera maculosa permista,Campethera maculosa [cailliautii Group]
825287fffffffff,3.0,0.0,0.0,0.0
8254e7fffffffff,10.0,10.0,0.0,0.0
8254f7fffffffff,13.0,13.0,0.0,0.0
825897fffffffff,2.0,0.0,0.0,0.0
8258cffffffffff,1.0,0.0,0.0,0.0
8258d7fffffffff,4.0,0.0,0.0,0.0
8258dffffffffff,8.0,0.0,0.0,0.0
8258f7fffffffff,1.0,0.0,0.0,0.0
826ac7fffffffff,5.0,0.0,0.0,0.0
826acffffffffff,49.0,0.0,0.0,0.0
826adffffffffff,25.0,0.0,0.0,0.0
827507fffffffff,3.0,3.0,0.0,0.0
82750ffffffffff,74.0,70.0,0.0,0.0
827527fffffffff,2.0,1.0,0.0,0.0
82752ffffffffff,73.0,73.0,0.0,0.0
827587fffffffff,1.0,1.0,0.0,0.0
8275a7fffffffff,3.0,3.0,0.0,0.0
8275affffffffff,5.0,5.0,0.0,0.0
8275b7fffffffff,3.0,3.0,0.0,0.0
827a6ffffffffff,47.0,0.0,0.0,0.0
827a77fffffffff,1.0,0.0,0.0,0.0
827b4ffffffffff,43.0,0.0,0.0,0.0
827b5ffffffffff,41.0,0.0,0.0,0.0
827b6ffffffffff,12.0,0.0,0.0,0.0
82821ffffffffff,1.0,0.0,0.0,0.0
828287fffffffff,8.0,0.0,0.0,0.0
82828ffffffffff,13.0,0.0,0.0,0.0
8282a7fffffffff,25.0,0.0,1.0,0.0
8282affffffffff,10.0,0.0,3.0,0.0
8282d7fffffffff,6.0,0.0,0.0,0.0
8282f7fffffffff,5.0,0.0,0.0,0.0
828317fffffffff,9.0,0.0,0.0,0.0
82838ffffffffff,4.0,0.0,0.0,0.0
828397fffffffff,1.0,0.0,0.0,0.0
8283affffffffff,14.0,0.0,0.0,0.0
829607fffffffff,24.0,0.0,0.0,8.0
82960ffffffffff,8.0,0.0,0.0,1.0
829617fffffffff,4.0,0.0,0.0,0.0
829627fffffffff,5.0,0.0,0.0,0.0
82962ffffffffff,16.0,0.0,0.0,2.0
829637fffffffff,9.0,0.0,0.0,0.0
829657fffffffff,3.0,0.0,0.0,0.0
82968ffffffffff,2.0,0.0,0.0,0.0
829697fffffffff,10.0,0.0,0.0,0.0
82969ffffffffff,5.0,0.0,0.0,0.0
8296a7fffffffff,7.0,0.0,0.0,2.0
8296affffffffff,2.0,0.0,0.0,0.0
8296b7fffffffff,14.0,0.0,0.0,0.0
829707fffffffff,22.0,0.0,0.0,0.0
829717fffffffff,48.0,0.0,0.0,1.0
82971ffffffffff,33.0,0.0,0.0,4.0
829737fffffffff,1.0,0.0,0.0,0.0
82978ffffffffff,6.0,0.0,0.0,0.0
82979ffffffffff,2.0,0.0,0.0,0.0
8297affffffffff,4.0,0.0,0.0,2.0
82bc9ffffffffff,7.0,0.0,0.0,0.0
