cell_id,Tyrannus caudifasciatus,Tyrannus caudifasciatus [caudifasciatus Group],Tyrannus caudifasciatus taylori,Tyrannus caudifasciatus gabbii
8444301ffffffff,27.0,13.0,0.0,0.0
8444305ffffffff,33.0,1.0,0.0,0.0
8444309ffffffff,164.0,7.0,0.0,0.0
844430dffffffff,1149.0,249.0,0.0,0.0
8444325ffffffff,118.0,0.0,0.0,0.0
8444329ffffffff,1113.0,197.0,0.0,0.0
844432dffffffff,30.0,6.0,0.0,0.0
8444347ffffffff,5.0,0.0,0.0,0.0
844434bffffffff,238.0,35.0,0.0,0.0
8444363ffffffff,81.0,2.0,0.0,0.0
844436bffffffff,6.0,0.0,0.0,0.0
844480dffffffff,45.0,0.0,0.0,0.0
8444847ffffffff,20.0,0.0,0.0,0.0
844484bffffffff,280.0,0.0,0.0,0.0
8444859ffffffff,19.0,0.0,0.0,0.0
844485dffffffff,4.0,0.0,0.0,0.0
8444861ffffffff,98.0,0.0,0.0,0.0
8444869ffffffff,213.0,0.0,0.0,0.0
844486bffffffff,186.0,0.0,0.0,0.0
844486dffffffff,33.0,0.0,0.0,0.0
8444a2dffffffff,54.0,0.0,0.0,0.0
8444a37ffffffff,261.0,0.0,0.0,0.0
8444b13ffffffff,26.0,0.0,0.0,0.0
8444b17ffffffff,176.0,0.0,0.0,0.0
8444b51ffffffff,32.0,0.0,0.0,0.0
8444b53ffffffff,14.0,0.0,0.0,0.0
8444b57ffffffff,627.0,0.0,0.0,0.0
8444b59ffffffff,3.0,0.0,0.0,0.0
8444b5bffffffff,33.0,0.0,0.0,0.0
8444b5dffffffff,13.0,0.0,0.0,0.0
84451b7ffffffff,45.0,0.0,0.0,0.0
8445833ffffffff,120.0,25.0,0.0,0.0
8445837ffffffff,2.0,0.0,0.0,0.0
8445847ffffffff,53.0,0.0,0.0,0.0
8445883ffffffff,19.0,0.0,0.0,0.0
8445889ffffffff,812.0,119.0,0.0,0.0
844588bffffffff,4.0,0.0,0.0,0.0
844588dffffffff,12.0,0.0,0.0,0.0
8445899ffffffff,19.0,1.0,0.0,0.0
844589dffffffff,7.0,0.0,0.0,0.0
84458adffffffff,13.0,0.0,0.0,0.0
84458c3ffffffff,102.0,17.0,0.0,0.0
84458c7ffffffff,709.0,95.0,0.0,0.0
84458d3ffffffff,2.0,0.0,0.0,0.0
84458d5ffffffff,291.0,66.0,0.0,0.0
84458d7ffffffff,2.0,0.0,0.0,0.0
84458e1ffffffff,248.0,32.0,0.0,0.0
84458e3ffffffff,2.0,0.0,0.0,0.0
84458e5ffffffff,1.0,0.0,0.0,0.0
84458e7ffffffff,39.0,0.0,0.0,0.0
84458ebffffffff,27.0,3.0,0.0,0.0
84458edffffffff,195.0,41.0,0.0,0.0
8445905ffffffff,11.0,4.0,0.0,0.0
8445909ffffffff,13.0,0.0,0.0,0.0
844590dffffffff,2.0,0.0,0.0,0.0
8445911ffffffff,321.0,69.0,0.0,0.0
8445913ffffffff,6.0,0.0,0.0,0.0
8445917ffffffff,18.0,0.0,0.0,0.0
8445923ffffffff,9.0,2.0,0.0,0.0
8445925ffffffff,17.0,0.0,0.0,0.0
8445927ffffffff,1.0,0.0,0.0,0.0
8445929ffffffff,4.0,0.0,0.0,0.0
844592bffffffff,4.0,0.0,0.0,0.0
844592dffffffff,2.0,0.0,0.0,0.0
8445933ffffffff,8.0,0.0,0.0,0.0
8445935ffffffff,4.0,0.0,0.0,0.0
8445937ffffffff,2.0,0.0,0.0,0.0
8445955ffffffff,3.0,0.0,0.0,0.0
8445963ffffffff,1.0,0.0,0.0,0.0
8445967ffffffff,10.0,0.0,0.0,0.0
8445981ffffffff,678.0,93.0,0.0,0.0
8445989ffffffff,376.0,60.0,0.0,0.0
844598bffffffff,102.0,7.0,0.0,0.0
844598dffffffff,77.0,7.0,0.0,0.0
84459c1ffffffff,2.0,0.0,0.0,0.0
84459c3ffffffff,32.0,4.0,0.0,0.0
84459c5ffffffff,4.0,0.0,0.0,0.0
84459c7ffffffff,6.0,0.0,0.0,0.0
84459d1ffffffff,1.0,0.0,0.0,0.0
84459d5ffffffff,6.0,0.0,0.0,0.0
84459d7ffffffff,104.0,8.0,0.0,0.0
84459d9ffffffff,6.0,0.0,0.0,0.0
84459dbffffffff,7.0,0.0,0.0,0.0
84459ddffffffff,21.0,0.0,0.0,0.0
84459e1ffffffff,3.0,0.0,0.0,0.0
84459e3ffffffff,2.0,0.0,0.0,0.0
84459e9ffffffff,69.0,32.0,0.0,0.0
84459ebffffffff,4.0,0.0,0.0,0.0
8445a33ffffffff,955.0,0.0,0.0,0.0
8445b07ffffffff,69.0,0.0,0.0,0.0
8445b21ffffffff,250.0,0.0,0.0,0.0
8445b23ffffffff,366.0,6.0,0.0,0.0
8445b25ffffffff,58.0,0.0,0.0,0.0
8445b27ffffffff,331.0,3.0,0.0,0.0
8445b29ffffffff,827.0,1.0,0.0,0.0
8445b2bffffffff,129.0,0.0,0.0,0.0
8445b2dffffffff,149.0,3.0,0.0,0.0
8445b3dffffffff,17.0,0.0,0.0,0.0
844c887ffffffff,11.0,0.0,0.0,3.0
844c893ffffffff,12.0,0.0,0.0,6.0
844c899ffffffff,3.0,0.0,0.0,2.0
844c8bbffffffff,5.0,0.0,0.0,0.0
844c8bdffffffff,1.0,0.0,0.0,0.0
844c933ffffffff,141.0,0.0,0.0,0.0
844c937ffffffff,12.0,2.0,0.0,0.0
844c985ffffffff,4.0,4.0,0.0,0.0
844c989ffffffff,29.0,21.0,0.0,0.0
844c98bffffffff,2.0,2.0,0.0,0.0
844c98dffffffff,38.0,25.0,0.0,0.0
844c9a1ffffffff,2.0,0.0,0.0,0.0
844c9abffffffff,3.0,0.0,0.0,0.0
844c9adffffffff,21.0,0.0,0.0,0.0
844c9e5ffffffff,3.0,0.0,0.0,0.0
844cc09ffffffff,125.0,0.0,4.0,0.0
844cc0bffffffff,830.0,0.0,235.0,0.0
844cc43ffffffff,61.0,0.0,13.0,0.0
844cc51ffffffff,1393.0,0.0,428.0,0.0
844cc53ffffffff,83.0,0.0,27.0,0.0
844cc55ffffffff,759.0,0.0,217.0,0.0
844cc57ffffffff,103.0,0.0,21.0,0.0
844cc59ffffffff,451.0,0.0,121.0,0.0
844cc5bffffffff,491.0,0.0,123.0,0.0
844cc5dffffffff,57.0,0.0,15.0,0.0
844cc61ffffffff,10.0,0.0,0.0,2.0
844cc6dffffffff,3.0,0.0,0.0,0.0
844cd29ffffffff,6.0,0.0,0.0,0.0
844cd2dffffffff,23.0,0.0,0.0,7.0
844cd45ffffffff,5.0,0.0,0.0,1.0
844cd4dffffffff,34.0,0.0,0.0,6.0
