cell_id,Tympanuchus cupido,Tympanuchus cupido pinnatus,Tympanuchus cupido cupido,Tympanuchus cupido attwateri
822607fffffffff,73.0,0.0,0.0,0.0
82260ffffffffff,52.0,2.0,0.0,0.0
822617fffffffff,272.0,0.0,0.0,0.0
82261ffffffffff,411.0,0.0,0.0,0.0
822627fffffffff,611.0,0.0,0.0,0.0
822637fffffffff,12.0,0.0,0.0,0.0
822657fffffffff,40.0,0.0,0.0,0.0
8226affffffffff,1089.0,0.0,0.0,0.0
8226c7fffffffff,2.0,0.0,0.0,0.0
8226e7fffffffff,667.0,0.0,0.0,0.0
8226effffffffff,281.0,0.0,0.0,0.0
8226f7fffffffff,244.0,0.0,0.0,0.0
82271ffffffffff,256.0,0.0,0.0,0.0
822757fffffffff,2.0,0.0,0.0,0.0
82275ffffffffff,931.0,0.0,0.0,0.0
824897fffffffff,349.0,0.0,0.0,214.0
