cell_id,Empidonax difficilis,Empidonax difficilis [difficilis Group],Empidonax difficilis occidentalis/hellmayri,Empidonax difficilis difficilis x hellmayri
831213fffffffff,2.0,2.0,0.0,0.0
831218fffffffff,3.0,3.0,0.0,0.0
83121afffffffff,8.0,8.0,0.0,0.0
83121efffffffff,4.0,4.0,0.0,0.0
831280fffffffff,98.0,98.0,0.0,0.0
831282fffffffff,4.0,4.0,0.0,0.0
831283fffffffff,2.0,2.0,0.0,0.0
831284fffffffff,40.0,40.0,0.0,0.0
831285fffffffff,12.0,12.0,0.0,0.0
831286fffffffff,96.0,94.0,0.0,0.0
831288fffffffff,2.0,2.0,0.0,0.0
831289fffffffff,71.0,70.0,0.0,0.0
83128bfffffffff,46.0,46.0,0.0,0.0
83128dfffffffff,52.0,52.0,0.0,0.0
83128efffffffff,4.0,4.0,0.0,0.0
831290fffffffff,58.0,58.0,0.0,0.0
831293fffffffff,15.0,15.0,0.0,0.0
831294fffffffff,95.0,94.0,0.0,0.0
831298fffffffff,110.0,110.0,0.0,0.0
831299fffffffff,22.0,22.0,0.0,0.0
83129afffffffff,13.0,12.0,0.0,0.0
83129bfffffffff,116.0,113.0,0.0,0.0
83129cfffffffff,42.0,42.0,0.0,0.0
83129dfffffffff,6.0,6.0,0.0,0.0
8312a2fffffffff,76.0,76.0,0.0,0.0
8312a3fffffffff,12.0,12.0,0.0,0.0
8312a8fffffffff,3.0,3.0,0.0,0.0
8312a9fffffffff,1.0,1.0,0.0,0.0
8312aafffffffff,18.0,18.0,0.0,0.0
8312abfffffffff,9.0,9.0,0.0,0.0
8312adfffffffff,5.0,4.0,0.0,0.0
8312b0fffffffff,294.0,294.0,0.0,0.0
8312b1fffffffff,6.0,6.0,0.0,0.0
8312b2fffffffff,1.0,1.0,0.0,0.0
8312b3fffffffff,5.0,5.0,0.0,0.0
8312b4fffffffff,72.0,70.0,0.0,0.0
8312b5fffffffff,65.0,65.0,0.0,0.0
8312c0fffffffff,43.0,43.0,0.0,0.0
8312c1fffffffff,216.0,213.0,0.0,0.0
8312c2fffffffff,18.0,18.0,0.0,0.0
8312c3fffffffff,8.0,7.0,0.0,0.0
8312c4fffffffff,7.0,7.0,0.0,0.0
8312c6fffffffff,2.0,2.0,0.0,0.0
8312c8fffffffff,51.0,51.0,0.0,0.0
8312cafffffffff,84.0,66.0,10.0,0.0
8312cbfffffffff,192.0,0.0,181.0,0.0
8312ccfffffffff,6.0,6.0,0.0,0.0
8312cefffffffff,12.0,12.0,0.0,0.0
8312d0fffffffff,77.0,77.0,0.0,0.0
8312d1fffffffff,380.0,377.0,0.0,0.0
8312d2fffffffff,86.0,86.0,0.0,0.0
8312d3fffffffff,280.0,280.0,0.0,0.0
8312d4fffffffff,42.0,42.0,0.0,0.0
8312d5fffffffff,12.0,12.0,0.0,0.0
8312d6fffffffff,41.0,41.0,0.0,0.0
8312d8fffffffff,346.0,317.0,16.0,0.0
8312d9fffffffff,381.0,0.0,318.0,0.0
8312dafffffffff,193.0,191.0,0.0,0.0
8312dbfffffffff,537.0,408.0,43.0,0.0
8312dcfffffffff,224.0,224.0,0.0,0.0
8312ddfffffffff,252.0,226.0,18.0,0.0
8312defffffffff,345.0,344.0,0.0,0.0
8312e2fffffffff,3.0,3.0,0.0,0.0
8312eafffffffff,136.0,136.0,0.0,0.0
8312f0fffffffff,2.0,2.0,0.0,0.0
8312f1fffffffff,35.0,35.0,0.0,0.0
8312f2fffffffff,66.0,66.0,0.0,0.0
8312f3fffffffff,4.0,4.0,0.0,0.0
8312f6fffffffff,58.0,58.0,0.0,0.0
831390fffffffff,1.0,1.0,0.0,0.0
831391fffffffff,27.0,26.0,0.0,0.0
831393fffffffff,150.0,149.0,0.0,0.0
831398fffffffff,10.0,10.0,0.0,0.0
83139bfffffffff,20.0,20.0,0.0,0.0
83139efffffffff,475.0,469.0,0.0,0.0
831d24fffffffff,88.0,88.0,0.0,0.0
831d25fffffffff,1.0,1.0,0.0,0.0
831d26fffffffff,2.0,2.0,0.0,0.0
832612fffffffff,16.0,0.0,16.0,0.0
832616fffffffff,67.0,0.0,67.0,0.0
832680fffffffff,185.0,0.0,184.0,0.0
832681fffffffff,7456.0,0.0,7403.0,0.0
832682fffffffff,19.0,0.0,18.0,0.0
832683fffffffff,788.0,0.0,781.0,0.0
832684fffffffff,84.0,0.0,83.0,0.0
832685fffffffff,540.0,0.0,529.0,0.0
832686fffffffff,7.0,0.0,4.0,0.0
832688fffffffff,838.0,0.0,773.0,0.0
83268afffffffff,226.0,0.0,224.0,0.0
83268bfffffffff,297.0,0.0,292.0,0.0
83268cfffffffff,3037.0,0.0,2997.0,0.0
83268dfffffffff,41.0,0.0,27.0,0.0
83268efffffffff,744.0,0.0,735.0,0.0
832690fffffffff,144.0,0.0,144.0,0.0
832692fffffffff,61.0,0.0,60.0,0.0
832693fffffffff,3.0,0.0,3.0,0.0
832694fffffffff,80.0,0.0,78.0,0.0
832695fffffffff,1.0,0.0,1.0,0.0
832696fffffffff,1880.0,0.0,1878.0,0.0
832698fffffffff,433.0,0.0,419.0,0.0
832699fffffffff,568.0,0.0,565.0,0.0
83269afffffffff,8.0,0.0,8.0,0.0
83269bfffffffff,29.0,0.0,28.0,0.0
83269cfffffffff,556.0,0.0,551.0,0.0
83269dfffffffff,576.0,0.0,573.0,0.0
83269efffffffff,64.0,0.0,63.0,0.0
8326a0fffffffff,2.0,0.0,2.0,0.0
8326a1fffffffff,54.0,0.0,54.0,0.0
8326a2fffffffff,18.0,0.0,18.0,0.0
8326a3fffffffff,14.0,0.0,14.0,0.0
8326a4fffffffff,2.0,0.0,2.0,0.0
8326a5fffffffff,435.0,0.0,427.0,0.0
8326a6fffffffff,13.0,0.0,13.0,0.0
