cell_id,Poicephalus gulielmi,Poicephalus gulielmi fantiensis,Poicephalus gulielmi gulielmi/massaicus
8258d7fffffffff,6.0,0.0,0.0
827507fffffffff,5.0,2.0,0.0
82750ffffffffff,316.0,16.0,0.0
827527fffffffff,3.0,0.0,0.0
82752ffffffffff,296.0,8.0,0.0
8275affffffffff,4.0,0.0,0.0
827a47fffffffff,429.0,0.0,0.0
827a4ffffffffff,5.0,0.0,0.0
827a6ffffffffff,16.0,0.0,0.0
828237fffffffff,1.0,0.0,0.0
82828ffffffffff,3.0,0.0,0.0
828297fffffffff,2.0,0.0,0.0
8282affffffffff,1.0,0.0,0.0
8282d7fffffffff,1.0,0.0,0.0
8282f7fffffffff,1.0,0.0,0.0
828317fffffffff,8.0,0.0,0.0
8283affffffffff,16.0,0.0,0.0
829697fffffffff,44.0,0.0,0.0
