cell_id,Vireo leucophrys,Vireo leucophrys [amauronotus Group],Vireo leucophrys [leucophrys Group]
8448a21ffffffff,21.0,0.0,0.0
844990bffffffff,3.0,0.0,0.0
8449963ffffffff,22.0,0.0,0.0
844996bffffffff,4.0,0.0,0.0
8449987ffffffff,4.0,0.0,0.0
84499bdffffffff,1.0,0.0,0.0
8466089ffffffff,6.0,0.0,0.0
846619dffffffff,9.0,0.0,0.0
846623bffffffff,2.0,0.0,0.0
8466b4dffffffff,4.0,0.0,0.0
8466b51ffffffff,4.0,0.0,0.0
8466b53ffffffff,1.0,0.0,0.0
8466c65ffffffff,1.0,0.0,0.0
8466d31ffffffff,2.0,0.0,0.0
8466d35ffffffff,7.0,0.0,0.0
8466d37ffffffff,1.0,0.0,0.0
8466d51ffffffff,1.0,0.0,0.0
8466de1ffffffff,2.0,0.0,0.0
8466debffffffff,2.0,0.0,0.0
8466e65ffffffff,3.0,0.0,0.0
8466e6dffffffff,11.0,0.0,0.0
8466f03ffffffff,1.0,0.0,0.0
8467413ffffffff,4.0,0.0,0.0
84674e9ffffffff,2.0,0.0,0.0
84675e7ffffffff,4.0,0.0,0.0
846d04dffffffff,1.0,0.0,0.0
846d05bffffffff,9.0,0.0,0.0
846d231ffffffff,5.0,0.0,0.0
846d239ffffffff,1.0,0.0,0.0
846d283ffffffff,3.0,0.0,0.0
846d287ffffffff,15.0,0.0,0.0
846d291ffffffff,29.0,0.0,0.0
846d295ffffffff,8.0,0.0,0.0
846d2abffffffff,4.0,0.0,0.0
846d2b9ffffffff,11.0,0.0,0.0
846d2d7ffffffff,1.0,0.0,0.0
846d305ffffffff,4.0,0.0,0.0
846d69dffffffff,26.0,0.0,0.0
848b69bffffffff,1.0,0.0,0.0
848b75bffffffff,2.0,0.0,0.0
848f295ffffffff,7.0,0.0,0.0
848f4b3ffffffff,7.0,0.0,0.0
