cell_id,Sylvietta leucophrys,Sylvietta leucophrys leucophrys/chloronota,Sylvietta leucophrys chapini
846ac03ffffffff,2.0,0.0,0.0
846ac07ffffffff,1.0,0.0,0.0
846ac15ffffffff,4.0,0.0,0.0
846ac35ffffffff,1.0,1.0,0.0
846ac39ffffffff,1.0,0.0,0.0
846ad8dffffffff,1.0,0.0,0.0
846ada1ffffffff,3.0,0.0,0.0
846adc1ffffffff,472.0,70.0,0.0
846adc5ffffffff,24.0,0.0,0.0
846adc7ffffffff,1.0,0.0,0.0
846ade3ffffffff,1.0,0.0,0.0
846ade5ffffffff,2.0,0.0,0.0
846ade7ffffffff,113.0,0.0,0.0
846ade9ffffffff,2.0,0.0,0.0
846adebffffffff,10.0,0.0,0.0
846aea1ffffffff,4.0,0.0,0.0
847a451ffffffff,2.0,0.0,0.0
847a453ffffffff,8.0,0.0,0.0
847a455ffffffff,31.0,0.0,0.0
847a457ffffffff,11.0,0.0,0.0
847a45bffffffff,53.0,0.0,0.0
847a489ffffffff,8.0,0.0,0.0
847a48bffffffff,13.0,1.0,0.0
847a48dffffffff,1.0,0.0,0.0
847a4c1ffffffff,1.0,0.0,0.0
847a4c5ffffffff,1.0,0.0,0.0
847a4c9ffffffff,10.0,0.0,0.0
847a4cbffffffff,16.0,0.0,0.0
847a4ddffffffff,5.0,0.0,0.0
847a6abffffffff,1.0,0.0,0.0
847a6b5ffffffff,2.0,0.0,0.0
847a6b7ffffffff,1.0,0.0,0.0
847a6e7ffffffff,5.0,0.0,0.0
8496d67ffffffff,1.0,0.0,0.0
