cell_id,Melithreptus gularis,Melithreptus gularis laetior,Melithreptus gularis gularis
82945ffffffffff,2.0,2.0,0.0
8294effffffffff,1.0,1.0,0.0
829c27fffffffff,2.0,1.0,0.0
829c67fffffffff,4.0,4.0,0.0
829d4ffffffffff,1.0,1.0,0.0
82b917fffffffff,3.0,0.0,0.0
82be0ffffffffff,5.0,0.0,1.0
82be1ffffffffff,2.0,0.0,0.0
82be47fffffffff,3.0,0.0,0.0
82be4ffffffffff,15.0,0.0,0.0
82be6ffffffffff,2.0,0.0,0.0
82be77fffffffff,4.0,0.0,1.0
82be8ffffffffff,5.0,0.0,0.0
82beaffffffffff,1.0,0.0,0.0
82bee7fffffffff,2.0,0.0,2.0
82bef7fffffffff,2.0,0.0,0.0
