cell_id,Apalis flavida,Apalis flavida flavocincta/viridiceps,Apalis flavida [flavida Group]
8354e1fffffffff,3.0,0.0,0.0
8354ecfffffffff,2.0,0.0,0.0
836a58fffffffff,17.0,17.0,0.0
836a5afffffffff,6.0,6.0,0.0
836aeefffffffff,2.0,0.0,1.0
837a40fffffffff,1.0,1.0,0.0
837a41fffffffff,1.0,0.0,0.0
837a46fffffffff,6.0,6.0,0.0
837a4cfffffffff,2.0,2.0,0.0
837a60fffffffff,2.0,0.0,0.0
837a64fffffffff,1.0,1.0,0.0
837a68fffffffff,1.0,0.0,1.0
837a6afffffffff,5.0,0.0,2.0
837a6efffffffff,4.0,0.0,2.0
837b4cfffffffff,72.0,3.0,3.0
839711fffffffff,1.0,0.0,1.0
839713fffffffff,4.0,0.0,4.0
83972afffffffff,2.0,0.0,2.0
83bcf6fffffffff,1.0,0.0,0.0
