cell_id,Leptotila cassinii,Leptotila cassinii cerviniventris,Leptotila cassinii rufinucha,Leptotila cassinii cassinii
834505fffffffff,3.0,0.0,0.0,0.0
834520fffffffff,268.0,1.0,0.0,0.0
834521fffffffff,409.0,0.0,0.0,0.0
834522fffffffff,347.0,0.0,0.0,0.0
834523fffffffff,673.0,0.0,0.0,0.0
834525fffffffff,49.0,0.0,0.0,0.0
834526fffffffff,330.0,6.0,0.0,0.0
834528fffffffff,2.0,0.0,0.0,0.0
83452cfffffffff,5.0,0.0,0.0,0.0
83452dfffffffff,49.0,0.0,0.0,0.0
83452efffffffff,2004.0,0.0,0.0,0.0
834530fffffffff,4.0,0.0,0.0,0.0
834531fffffffff,51.0,5.0,0.0,0.0
834532fffffffff,17.0,0.0,0.0,0.0
834534fffffffff,12.0,0.0,0.0,0.0
834535fffffffff,14.0,0.0,0.0,0.0
834536fffffffff,30.0,0.0,0.0,0.0
836600fffffffff,2.0,0.0,0.0,0.0
836602fffffffff,1.0,0.0,0.0,0.0
836608fffffffff,2.0,0.0,0.0,0.0
83660afffffffff,87.0,0.0,0.0,0.0
83660cfffffffff,1.0,0.0,0.0,0.0
83660efffffffff,2.0,0.0,0.0,0.0
836610fffffffff,189.0,0.0,0.0,10.0
836611fffffffff,11.0,0.0,0.0,0.0
836612fffffffff,11.0,0.0,0.0,0.0
836613fffffffff,111.0,0.0,0.0,5.0
836616fffffffff,89.0,0.0,0.0,6.0
836619fffffffff,17.0,0.0,0.0,0.0
83661afffffffff,58.0,0.0,0.0,0.0
83661efffffffff,28.0,0.0,0.0,0.0
8366a0fffffffff,244.0,0.0,0.0,9.0
8366a3fffffffff,4.0,0.0,0.0,0.0
8366a5fffffffff,2431.0,0.0,0.0,139.0
8366a6fffffffff,8.0,0.0,0.0,0.0
8366b0fffffffff,1097.0,0.0,0.0,0.0
8366b1fffffffff,15.0,0.0,5.0,0.0
8366b4fffffffff,865.0,0.0,0.0,0.0
8366b5fffffffff,1128.0,0.0,1.0,0.0
8366b6fffffffff,14.0,0.0,0.0,0.0
8366e4fffffffff,1.0,0.0,0.0,0.0
836790fffffffff,8.0,0.0,0.0,0.0
836792fffffffff,7.0,0.0,0.0,0.0
836793fffffffff,4.0,0.0,0.0,0.0
836794fffffffff,1.0,0.0,0.0,0.0
836796fffffffff,19.0,0.0,0.0,0.0
83679afffffffff,1809.0,0.0,0.0,0.0
83679bfffffffff,406.0,0.0,0.0,0.0
836d21fffffffff,57.0,6.0,0.0,0.0
836d2cfffffffff,85.0,20.0,0.0,0.0
836d2dfffffffff,124.0,0.0,0.0,0.0
836d65fffffffff,86.0,0.0,0.0,0.0
836d68fffffffff,559.0,0.0,0.0,0.0
836d69fffffffff,3142.0,0.0,0.0,0.0
836d6dfffffffff,291.0,0.0,0.0,0.0
