cell_id,Empidonax traillii,Empidonax traillii traillii,Empidonax traillii brewsteri/adastus,Empidonax traillii extimus
831288fffffffff,7.0,0.0,0.0,0.0
831289fffffffff,167.0,0.0,0.0,0.0
83128afffffffff,4.0,0.0,0.0,0.0
83128bfffffffff,88.0,0.0,0.0,0.0
83128dfffffffff,14.0,0.0,0.0,0.0
831299fffffffff,3.0,0.0,0.0,0.0
83129bfffffffff,5.0,0.0,0.0,0.0
8312a8fffffffff,2.0,0.0,0.0,0.0
8312a9fffffffff,1.0,0.0,0.0,0.0
8312abfffffffff,4.0,0.0,0.0,0.0
8312c0fffffffff,160.0,0.0,0.0,0.0
8312c1fffffffff,478.0,0.0,0.0,0.0
8312c2fffffffff,115.0,0.0,0.0,0.0
8312c3fffffffff,115.0,0.0,0.0,0.0
8312c4fffffffff,6.0,0.0,0.0,0.0
8312c8fffffffff,69.0,0.0,0.0,0.0
8312cafffffffff,343.0,0.0,0.0,0.0
8312cbfffffffff,554.0,0.0,0.0,0.0
8312ccfffffffff,28.0,0.0,0.0,0.0
8312cefffffffff,72.0,0.0,0.0,0.0
8312d0fffffffff,251.0,0.0,0.0,0.0
8312d1fffffffff,637.0,0.0,0.0,0.0
8312d2fffffffff,146.0,0.0,0.0,0.0
8312d3fffffffff,402.0,0.0,0.0,0.0
8312d4fffffffff,91.0,0.0,0.0,0.0
8312d5fffffffff,29.0,0.0,0.0,0.0
8312d6fffffffff,160.0,0.0,0.0,0.0
8312d8fffffffff,490.0,0.0,0.0,0.0
8312d9fffffffff,306.0,0.0,0.0,0.0
8312dafffffffff,349.0,0.0,0.0,0.0
8312dbfffffffff,777.0,0.0,0.0,0.0
8312dcfffffffff,552.0,0.0,0.0,0.0
8312ddfffffffff,669.0,0.0,0.0,0.0
8312defffffffff,1514.0,0.0,0.0,0.0
8312e2fffffffff,3.0,0.0,0.0,0.0
8312eafffffffff,42.0,0.0,0.0,0.0
8312f0fffffffff,6.0,0.0,0.0,0.0
8312f1fffffffff,46.0,0.0,0.0,0.0
8312f2fffffffff,23.0,0.0,0.0,0.0
8312f3fffffffff,3.0,0.0,0.0,0.0
8312f6fffffffff,12.0,0.0,0.0,0.0
832600fffffffff,32.0,0.0,0.0,0.0
832601fffffffff,57.0,0.0,0.0,0.0
832602fffffffff,13.0,0.0,0.0,0.0
832603fffffffff,21.0,3.0,0.0,0.0
