cell_id,Petroica macrocephala,Petroica macrocephala [macrocephala Group],Petroica macrocephala dannefaerdi
84bb081ffffffff,2.0,2.0,0.0
84bb083ffffffff,2.0,2.0,0.0
84bb091ffffffff,29.0,22.0,0.0
84bb093ffffffff,3.0,0.0,0.0
84bb099ffffffff,3.0,3.0,0.0
84bb09bffffffff,5.0,4.0,0.0
84bb291ffffffff,6.0,6.0,0.0
84bb293ffffffff,4.0,2.0,0.0
84bb295ffffffff,2.0,1.0,0.0
84bb2b1ffffffff,9.0,3.0,0.0
84bb2bdffffffff,2.0,0.0,0.0
84bb2d3ffffffff,7.0,4.0,0.0
84bb2dbffffffff,2.0,2.0,0.0
84bb50bffffffff,2.0,2.0,0.0
84bb50dffffffff,1.0,1.0,0.0
84bb517ffffffff,1.0,1.0,0.0
84bb53bffffffff,6.0,6.0,0.0
84bb5e1ffffffff,3.0,2.0,0.0
84bb5e5ffffffff,4.0,4.0,0.0
84bb5e9ffffffff,6.0,6.0,0.0
84bb725ffffffff,1.0,0.0,0.0
84bb729ffffffff,2.0,0.0,0.0
84bb72bffffffff,2.0,2.0,0.0
84d46b3ffffffff,10.0,0.0,0.0
84da189ffffffff,24.0,10.0,0.0
84da801ffffffff,4.0,0.0,0.0
84da817ffffffff,1.0,0.0,0.0
84da823ffffffff,4.0,4.0,0.0
84da831ffffffff,5.0,0.0,0.0
84da835ffffffff,2.0,2.0,0.0
84da839ffffffff,2.0,0.0,0.0
84da83bffffffff,16.0,8.0,0.0
84da83dffffffff,2.0,0.0,0.0
84da843ffffffff,16.0,10.0,0.0
84da85bffffffff,25.0,19.0,0.0
84da8c7ffffffff,4.0,4.0,0.0
84da8cdffffffff,1.0,1.0,0.0
84da8e9ffffffff,3.0,3.0,0.0
84da8edffffffff,12.0,5.0,0.0
84da90bffffffff,12.0,12.0,0.0
84da91bffffffff,3.0,0.0,0.0
84da92dffffffff,1.0,0.0,0.0
84da955ffffffff,10.0,8.0,0.0
84da95bffffffff,5.0,5.0,0.0
84da961ffffffff,2.0,2.0,0.0
84da969ffffffff,2.0,2.0,0.0
84da9c9ffffffff,3.0,0.0,0.0
84daa91ffffffff,4.0,0.0,2.0
84daaabffffffff,16.0,12.0,0.0
