cell_id,Elliotomyia chionogaster,Elliotomyia chionogaster chionogaster,Elliotomyia chionogaster hypoleuca
848b11bffffffff,2.0,0.0,0.0
848b201ffffffff,69.0,0.0,0.0
848b203ffffffff,121.0,0.0,0.0
848b205ffffffff,125.0,0.0,0.0
848b207ffffffff,6.0,0.0,0.0
848b20bffffffff,108.0,0.0,0.0
848b20dffffffff,20.0,0.0,0.0
848b211ffffffff,5.0,0.0,0.0
848b213ffffffff,1.0,0.0,0.0
848b215ffffffff,1.0,0.0,0.0
848b219ffffffff,1.0,0.0,0.0
848b21bffffffff,1.0,0.0,0.0
848b21dffffffff,16.0,0.0,0.0
848b221ffffffff,16.0,0.0,0.0
848b223ffffffff,57.0,0.0,0.0
848b227ffffffff,2.0,0.0,0.0
848b229ffffffff,83.0,0.0,0.0
848b22bffffffff,2.0,0.0,0.0
848b22dffffffff,58.0,0.0,0.0
848b23dffffffff,2.0,0.0,0.0
848b241ffffffff,10.0,0.0,0.0
848b247ffffffff,4.0,0.0,0.0
848b249ffffffff,2.0,0.0,0.0
848b24bffffffff,3.0,0.0,0.0
848b251ffffffff,24.0,0.0,0.0
848b259ffffffff,44.0,0.0,0.0
848b25dffffffff,17.0,0.0,0.0
848b263ffffffff,1.0,0.0,0.0
848b269ffffffff,9.0,0.0,0.0
848b26bffffffff,2.0,0.0,0.0
848b2c9ffffffff,61.0,0.0,0.0
848b2cdffffffff,2.0,0.0,0.0
848b2d9ffffffff,6.0,0.0,0.0
848b2dbffffffff,3.0,0.0,0.0
848b2ddffffffff,2.0,0.0,0.0
848b2e9ffffffff,1.0,0.0,0.0
848b611ffffffff,94.0,2.0,0.0
848b613ffffffff,9.0,0.0,0.0
848b617ffffffff,79.0,1.0,0.0
848b619ffffffff,4.0,0.0,0.0
848b61bffffffff,417.0,5.0,0.0
848b61dffffffff,10.0,0.0,0.0
848b639ffffffff,1.0,0.0,0.0
848b63bffffffff,18.0,0.0,0.0
848b665ffffffff,4.0,0.0,0.0
848b6c1ffffffff,11.0,0.0,0.0
848b6c5ffffffff,7.0,0.0,0.0
848b6c9ffffffff,11.0,0.0,0.0
848b6cdffffffff,495.0,0.0,0.0
848b751ffffffff,6.0,0.0,0.0
848b759ffffffff,2.0,0.0,0.0
848b75bffffffff,33.0,0.0,0.0
848b75dffffffff,4.0,0.0,0.0
848e609ffffffff,4.0,0.0,0.0
848e613ffffffff,5.0,0.0,0.0
848e619ffffffff,16.0,0.0,0.0
848e641ffffffff,19.0,0.0,0.0
848e643ffffffff,27.0,0.0,0.0
848e645ffffffff,2.0,0.0,0.0
848e649ffffffff,16.0,0.0,0.0
848e64bffffffff,43.0,0.0,0.0
848e651ffffffff,21.0,0.0,0.0
848e655ffffffff,2.0,0.0,0.0
848e657ffffffff,21.0,0.0,0.0
848e68bffffffff,15.0,0.0,0.0
848e6c1ffffffff,9.0,0.0,0.0
848e6c3ffffffff,5.0,0.0,0.0
848e6c5ffffffff,17.0,0.0,0.0
848e6c7ffffffff,4.0,0.0,0.0
848e6cbffffffff,2.0,0.0,0.0
848e6cdffffffff,4.0,0.0,0.0
848e6d1ffffffff,40.0,0.0,0.0
848e6d9ffffffff,209.0,0.0,0.0
848e6ddffffffff,28.0,0.0,0.0
848f421ffffffff,15.0,0.0,0.0
848f42dffffffff,109.0,0.0,0.0
848f439ffffffff,3.0,0.0,0.0
848f465ffffffff,12.0,0.0,0.0
848f467ffffffff,2.0,0.0,0.0
848f4a5ffffffff,22.0,0.0,0.0
848f4a7ffffffff,8.0,0.0,0.0
848f4adffffffff,13.0,0.0,0.0
848f553ffffffff,39.0,0.0,0.0
848f559ffffffff,593.0,0.0,0.0
848f55bffffffff,142.0,0.0,0.0
848f593ffffffff,12.0,0.0,0.0
848f599ffffffff,6.0,0.0,0.0
848f59bffffffff,75.0,0.0,0.0
848f5d3ffffffff,5.0,0.0,0.0
848f5d7ffffffff,7.0,0.0,0.0
848f5ddffffffff,4.0,0.0,0.0
848f733ffffffff,75.0,0.0,0.0
848f737ffffffff,3.0,0.0,0.0
84b2091ffffffff,2.0,0.0,0.0
84b2099ffffffff,8.0,0.0,0.0
84b209bffffffff,6.0,0.0,0.0
84b22dbffffffff,1.0,0.0,0.0
84b2549ffffffff,2.0,0.0,0.0
84b2701ffffffff,44.0,0.0,0.0
84b2703ffffffff,3.0,0.0,0.0
