cell_id,Dicaeum celebicum,Dicaeum celebicum [celebicum Group],Dicaeum celebicum kuehni
8268c7fffffffff,23.0,9.0,0.0
8268cffffffffff,406.0,83.0,0.0
8268d7fffffffff,198.0,55.0,0.0
8268dffffffffff,69.0,14.0,0.0
8273b7fffffffff,55.0,4.0,0.0
829507fffffffff,60.0,18.0,0.0
82950ffffffffff,23.0,1.0,15.0
829527fffffffff,1.0,0.0,0.0
82952ffffffffff,5.0,2.0,0.0
829567fffffffff,14.0,2.0,0.0
829577fffffffff,1.0,0.0,0.0
