cell_id,Ptilinopus regina,Ptilinopus regina xanthogaster/roseipileum,Ptilinopus regina [regina Group]
8494159ffffffff,4.0,0.0,0.0
849450bffffffff,1.0,0.0,0.0
8494601ffffffff,2.0,0.0,0.0
8495583ffffffff,2.0,0.0,0.0
84be0c3ffffffff,4.0,0.0,0.0
84be0c7ffffffff,8.0,0.0,0.0
84be0e3ffffffff,3.0,0.0,0.0
84be183ffffffff,1.0,0.0,0.0
84be189ffffffff,1.0,0.0,0.0
84be1d1ffffffff,2.0,0.0,0.0
84be1dbffffffff,2.0,0.0,0.0
84be8d1ffffffff,1.0,0.0,0.0
84bea97ffffffff,1.0,0.0,0.0
84bef2dffffffff,4.0,0.0,0.0
84bef41ffffffff,1.0,0.0,0.0
84bef61ffffffff,2.0,0.0,0.0
84bf4b9ffffffff,2.0,0.0,0.0
