cell_id,Melithreptus gularis,Melithreptus gularis laetior,Melithreptus gularis gularis
829487fffffffff,92.0,53.0,0.0
82948ffffffffff,25.0,16.0,0.0
8294affffffffff,12.0,8.0,0.0
8294c7fffffffff,19.0,4.0,0.0
8294cffffffffff,21.0,3.0,0.0
8294d7fffffffff,2.0,1.0,0.0
8294e7fffffffff,18.0,9.0,0.0
8294effffffffff,253.0,122.0,0.0
8294f7fffffffff,98.0,54.0,0.0
829c07fffffffff,4.0,4.0,0.0
829c0ffffffffff,24.0,10.0,0.0
829c27fffffffff,112.0,3.0,0.0
829c2ffffffffff,2.0,0.0,0.0
829c47fffffffff,13.0,2.0,0.0
829c4ffffffffff,17.0,2.0,0.0
829c67fffffffff,46.0,21.0,0.0
829c6ffffffffff,24.0,6.0,0.0
829d0ffffffffff,80.0,0.0,0.0
829d27fffffffff,16.0,0.0,0.0
829d2ffffffffff,2.0,0.0,0.0
829d47fffffffff,3.0,3.0,0.0
829d4ffffffffff,114.0,79.0,0.0
829d5ffffffffff,6.0,5.0,0.0
82a6a7fffffffff,4.0,0.0,0.0
82a787fffffffff,1.0,0.0,0.0
82a78ffffffffff,12.0,0.0,0.0
82a797fffffffff,2.0,0.0,0.0
82a79ffffffffff,5.0,4.0,0.0
82b887fffffffff,24.0,12.0,0.0
82b897fffffffff,2.0,0.0,0.0
82b89ffffffffff,10.0,2.0,0.0
82b917fffffffff,17.0,0.0,0.0
82be0ffffffffff,253.0,0.0,45.0
82be1ffffffffff,15.0,0.0,0.0
82be47fffffffff,869.0,0.0,222.0
82be4ffffffffff,19.0,0.0,4.0
82be57fffffffff,33.0,0.0,6.0
82be67fffffffff,100.0,0.0,8.0
82be6ffffffffff,83.0,0.0,4.0
82be77fffffffff,344.0,0.0,63.0
82be8ffffffffff,147.0,0.0,0.0
82beaffffffffff,10.0,0.0,0.0
82bec7fffffffff,3.0,0.0,0.0
82becffffffffff,4.0,0.0,0.0
82bed7fffffffff,7.0,0.0,0.0
82bedffffffffff,2.0,0.0,0.0
82bee7fffffffff,26.0,0.0,1.0
82bef7fffffffff,298.0,0.0,0.0
