cell_id,Campocolinus coqui,Campocolinus coqui [hubbardi Group],Campocolinus coqui coqui
846ac93ffffffff,1.0,0.0,0.0
847a40bffffffff,1.0,0.0,0.0
847a45dffffffff,1.0,0.0,0.0
847a601ffffffff,1.0,0.0,0.0
847a66dffffffff,4.0,0.0,0.0
847a681ffffffff,7.0,7.0,0.0
847a6a1ffffffff,1.0,0.0,0.0
847a6d1ffffffff,2.0,0.0,0.0
847a6e5ffffffff,2.0,0.0,0.0
847b4a7ffffffff,1.0,0.0,1.0
847b597ffffffff,4.0,0.0,0.0
8482a09ffffffff,8.0,0.0,0.0
849692bffffffff,5.0,5.0,0.0
8496937ffffffff,2.0,2.0,0.0
84969a5ffffffff,1.0,0.0,0.0
84bcdc9ffffffff,2.0,0.0,0.0
84bcdcdffffffff,4.0,0.0,0.0
