cell_id,Pipilo erythrophthalmus,Pipilo erythrophthalmus erythrophthalmus/canaster,Pipilo erythrophthalmus alleni/rileyi
832600fffffffff,3.0,0.0,0.0
832601fffffffff,470.0,17.0,0.0
832602fffffffff,2.0,0.0,0.0
832603fffffffff,47.0,3.0,0.0
832604fffffffff,3.0,0.0,0.0
832605fffffffff,173.0,0.0,0.0
832606fffffffff,2.0,0.0,0.0
832608fffffffff,479.0,11.0,0.0
832609fffffffff,150.0,0.0,0.0
83260afffffffff,491.0,0.0,0.0
83260bfffffffff,379.0,10.0,0.0
83260cfffffffff,26.0,0.0,0.0
83260dfffffffff,172.0,2.0,0.0
83260efffffffff,355.0,108.0,0.0
832619fffffffff,17.0,0.0,0.0
832620fffffffff,6.0,0.0,0.0
832621fffffffff,734.0,0.0,0.0
832622fffffffff,6.0,0.0,0.0
832623fffffffff,92.0,0.0,0.0
832624fffffffff,82.0,0.0,0.0
832625fffffffff,43.0,0.0,0.0
832626fffffffff,37.0,0.0,0.0
832628fffffffff,32.0,0.0,0.0
832629fffffffff,168.0,1.0,0.0
83262afffffffff,5.0,0.0,0.0
83262bfffffffff,217.0,0.0,0.0
83262cfffffffff,1820.0,0.0,0.0
83262dfffffffff,938.0,0.0,0.0
83262efffffffff,109.0,0.0,0.0
832631fffffffff,2.0,0.0,0.0
832633fffffffff,1.0,0.0,0.0
832635fffffffff,3.0,0.0,0.0
832640fffffffff,1401.0,0.0,0.0
832641fffffffff,2188.0,0.0,0.0
832642fffffffff,1414.0,0.0,0.0
832643fffffffff,2322.0,0.0,0.0
832644fffffffff,139.0,0.0,0.0
832645fffffffff,232.0,0.0,0.0
832646fffffffff,3856.0,0.0,0.0
832648fffffffff,1819.0,0.0,0.0
832649fffffffff,3590.0,0.0,0.0
83264afffffffff,2920.0,0.0,0.0
83264bfffffffff,898.0,0.0,0.0
83264cfffffffff,3389.0,0.0,0.0
83264dfffffffff,4918.0,0.0,0.0
83264efffffffff,845.0,0.0,0.0
832650fffffffff,757.0,0.0,0.0
832651fffffffff,843.0,0.0,0.0
832652fffffffff,988.0,0.0,0.0
832653fffffffff,1508.0,0.0,0.0
832654fffffffff,677.0,0.0,0.0
832655fffffffff,2705.0,0.0,0.0
