cell_id,Mitrephanes phaeocercus,Mitrephanes phaeocercus phaeocercus/tenuirostris,Mitrephanes phaeocercus aurantiiventris,Mitrephanes phaeocercus berlepschi
834524fffffffff,6.0,0.0,0.0,0.0
83480afffffffff,8.0,0.0,0.0,0.0
83481dfffffffff,2.0,0.0,0.0,0.0
834833fffffffff,8.0,4.0,0.0,0.0
834836fffffffff,75.0,1.0,0.0,0.0
834895fffffffff,2.0,0.0,0.0,0.0
8348a2fffffffff,5.0,0.0,0.0,0.0
8348abfffffffff,14.0,0.0,0.0,0.0
8348c5fffffffff,166.0,32.0,0.0,0.0
8348e8fffffffff,28.0,9.0,0.0,0.0
8348eefffffffff,813.0,15.0,0.0,0.0
8348f2fffffffff,7.0,0.0,0.0,0.0
834980fffffffff,10.0,10.0,0.0,0.0
834986fffffffff,8.0,6.0,0.0,0.0
834995fffffffff,5.0,3.0,0.0,0.0
834996fffffffff,37.0,5.0,0.0,0.0
834998fffffffff,2.0,2.0,0.0,0.0
83499cfffffffff,2.0,0.0,0.0,0.0
8349a2fffffffff,3.0,2.0,0.0,0.0
8349a8fffffffff,1.0,1.0,0.0,0.0
8349b1fffffffff,7.0,7.0,0.0,0.0
8349b2fffffffff,1.0,0.0,0.0,0.0
836613fffffffff,16.0,0.0,0.0,10.0
83661efffffffff,13.0,0.0,0.0,0.0
8366a5fffffffff,13.0,0.0,1.0,0.0
8366b4fffffffff,173.0,0.0,168.0,0.0
8366b5fffffffff,5.0,0.0,0.0,0.0
8366f0fffffffff,2.0,0.0,0.0,0.0
8366f1fffffffff,2.0,0.0,0.0,0.0
8366f5fffffffff,4.0,0.0,0.0,0.0
836d05fffffffff,3.0,3.0,0.0,0.0
836d23fffffffff,2.0,0.0,0.0,0.0
836d28fffffffff,1.0,0.0,0.0,0.0
836d2afffffffff,1.0,0.0,0.0,0.0
836d2dfffffffff,1.0,0.0,0.0,0.0
836d30fffffffff,5.0,2.0,0.0,0.0
836d32fffffffff,11.0,9.0,0.0,0.0
836d33fffffffff,1.0,1.0,0.0,0.0
836d34fffffffff,3.0,0.0,0.0,0.0
836d64fffffffff,4.0,1.0,0.0,0.0
836d68fffffffff,6.0,0.0,0.0,0.0
836d69fffffffff,22.0,0.0,16.0,0.0
