cell_id,Anisognathus somptuosus,Anisognathus somptuosus [somptuosus Group],Anisognathus somptuosus flavinucha
8366d3fffffffff,10.0,0.0,0.0
8366defffffffff,21.0,18.0,0.0
8366e6fffffffff,3.0,0.0,0.0
8366f0fffffffff,5.0,0.0,0.0
8366f1fffffffff,3.0,0.0,0.0
836741fffffffff,2.0,0.0,0.0
836743fffffffff,2.0,2.0,0.0
83674efffffffff,6.0,4.0,0.0
838b20fffffffff,6.0,0.0,6.0
838b21fffffffff,10.0,0.0,10.0
838b2cfffffffff,8.0,0.0,6.0
838b2dfffffffff,1.0,0.0,0.0
838b69fffffffff,25.0,0.0,0.0
838b75fffffffff,1.0,1.0,0.0
838f46fffffffff,3.0,3.0,0.0
838f4afffffffff,2.0,2.0,0.0
838f4bfffffffff,2.0,0.0,0.0
838f70fffffffff,2.0,2.0,0.0
838f72fffffffff,2.0,0.0,0.0
83b325fffffffff,4.0,0.0,4.0
