cell_id,Synallaxis stictothorax,Synallaxis stictothorax [undescribed La Libertad form]
848f081ffffffff,55.0,0.0
848f083ffffffff,11.0,0.0
848f087ffffffff,39.0,0.0
848f089ffffffff,31.0,0.0
848f08bffffffff,2.0,0.0
848f091ffffffff,2.0,0.0
848f093ffffffff,14.0,0.0
848f095ffffffff,329.0,0.0
848f097ffffffff,4.0,0.0
848f099ffffffff,4.0,0.0
848f09bffffffff,2.0,0.0
848f09dffffffff,5.0,0.0
848f0b3ffffffff,15.0,0.0
848f0b9ffffffff,29.0,0.0
848f0bbffffffff,78.0,0.0
848f0c3ffffffff,10.0,0.0
848f0d1ffffffff,2.0,0.0
848f0d3ffffffff,1.0,0.0
848f0d5ffffffff,43.0,0.0
848f0ddffffffff,29.0,0.0
848f2a1ffffffff,37.0,0.0
848f2a3ffffffff,154.0,0.0
848f2a7ffffffff,52.0,0.0
848f2a9ffffffff,272.0,0.0
848f2abffffffff,37.0,0.0
848f2b5ffffffff,14.0,0.0
848f2b9ffffffff,1.0,0.0
848f2bbffffffff,2.0,0.0
848f2bdffffffff,23.0,0.0
848f2e1ffffffff,3.0,0.0
848f2e3ffffffff,64.0,0.0
848f2e7ffffffff,18.0,0.0
848f501ffffffff,261.0,0.0
848f505ffffffff,83.0,0.0
848f507ffffffff,37.0,0.0
848f50dffffffff,601.0,0.0
848f545ffffffff,47.0,0.0
848f547ffffffff,20.0,0.0
848f563ffffffff,68.0,0.0
848f569ffffffff,21.0,0.0
848f56bffffffff,54.0,0.0
848f56dffffffff,2.0,0.0
848f5e1ffffffff,14.0,14.0
