cell_id,Vireo pallens,Vireo pallens paluster,Vireo pallens [semiflavus Group],Vireo pallens approximans,Vireo pallens [pallens Group]
834501fffffffff,2.0,0.0,0.0,0.0,0.0
834505fffffffff,8.0,0.0,3.0,0.0,0.0
834508fffffffff,41.0,0.0,41.0,0.0,0.0
834509fffffffff,599.0,0.0,598.0,0.0,0.0
83450afffffffff,10.0,0.0,9.0,0.0,0.0
83450bfffffffff,107.0,0.0,105.0,0.0,0.0
83450dfffffffff,196.0,0.0,196.0,0.0,0.0
834522fffffffff,3.0,0.0,0.0,0.0,0.0
834528fffffffff,11.0,0.0,11.0,0.0,0.0
83452afffffffff,19.0,0.0,14.0,0.0,0.0
83452efffffffff,17.0,0.0,0.0,0.0,0.0
834531fffffffff,3.0,0.0,0.0,0.0,0.0
834572fffffffff,395.0,0.0,395.0,0.0,0.0
836780fffffffff,14.0,0.0,0.0,14.0,0.0
836d05fffffffff,3.0,0.0,3.0,0.0,0.0
836d06fffffffff,4.0,0.0,0.0,0.0,0.0
836d14fffffffff,38.0,0.0,0.0,0.0,0.0
836d2afffffffff,2.0,0.0,0.0,0.0,0.0
836d35fffffffff,1.0,0.0,0.0,0.0,0.0
836d69fffffffff,4.0,0.0,0.0,0.0,2.0
836d75fffffffff,1.0,0.0,0.0,0.0,0.0
