cell_id,Cochlearius cochlearius,Cochlearius cochlearius [zeledoni Group],Cochlearius cochlearius cochlearius/panamensis
8444249ffffffff,82.0,0.0,0.0
8445019ffffffff,42.0,0.0,0.0
844501bffffffff,24.0,0.0,0.0
8445053ffffffff,6.0,0.0,0.0
8445057ffffffff,3.0,0.0,0.0
8445059ffffffff,3.0,0.0,0.0
844505bffffffff,86.0,2.0,0.0
8445085ffffffff,10.0,0.0,0.0
8445093ffffffff,3.0,0.0,0.0
8445097ffffffff,9.0,0.0,0.0
844509bffffffff,63.0,0.0,0.0
84450a3ffffffff,7.0,0.0,0.0
84450a5ffffffff,10.0,0.0,0.0
84450a7ffffffff,11.0,0.0,0.0
84450a9ffffffff,6.0,0.0,0.0
84450adffffffff,31.0,0.0,0.0
84450b1ffffffff,243.0,0.0,0.0
84450b5ffffffff,9.0,0.0,0.0
84450c1ffffffff,27.0,0.0,0.0
84450c5ffffffff,5.0,0.0,0.0
84450cdffffffff,3.0,0.0,0.0
84450e1ffffffff,11.0,0.0,0.0
84450e3ffffffff,21.0,0.0,0.0
84450e7ffffffff,4.0,0.0,0.0
84450e9ffffffff,1.0,0.0,0.0
84450ebffffffff,6.0,0.0,0.0
844519bffffffff,10.0,0.0,0.0
84451d3ffffffff,1.0,0.0,0.0
8445203ffffffff,9.0,0.0,0.0
8445205ffffffff,79.0,0.0,0.0
8445207ffffffff,9.0,0.0,0.0
8445209ffffffff,3.0,0.0,0.0
8445215ffffffff,74.0,0.0,0.0
8445217ffffffff,2.0,0.0,0.0
844521bffffffff,2.0,0.0,0.0
844521dffffffff,9.0,0.0,0.0
8445221ffffffff,47.0,0.0,0.0
8445225ffffffff,375.0,0.0,0.0
844522bffffffff,186.0,0.0,0.0
8445231ffffffff,44.0,0.0,0.0
8445233ffffffff,207.0,3.0,0.0
844523bffffffff,40.0,0.0,0.0
8445257ffffffff,2.0,0.0,0.0
8445283ffffffff,11.0,0.0,0.0
8445287ffffffff,8.0,0.0,0.0
8445289ffffffff,27.0,0.0,0.0
844528dffffffff,2.0,0.0,0.0
844529bffffffff,6.0,0.0,0.0
84452a3ffffffff,2.0,0.0,0.0
84452a5ffffffff,22.0,0.0,0.0
84452a9ffffffff,12.0,0.0,0.0
84452abffffffff,1.0,0.0,0.0
84452adffffffff,1789.0,84.0,0.0
84452b5ffffffff,2.0,0.0,0.0
84452b9ffffffff,13.0,0.0,0.0
84452bdffffffff,18.0,0.0,0.0
84452c1ffffffff,2.0,0.0,0.0
84452c3ffffffff,170.0,5.0,0.0
84452c7ffffffff,29.0,0.0,0.0
84452c9ffffffff,6.0,0.0,0.0
84452cbffffffff,5.0,0.0,0.0
84452dbffffffff,7.0,0.0,0.0
84452e1ffffffff,209.0,2.0,0.0
84452e3ffffffff,134.0,4.0,0.0
84452e5ffffffff,135.0,22.0,0.0
84452e7ffffffff,16.0,6.0,0.0
84452e9ffffffff,9.0,0.0,0.0
84452ebffffffff,316.0,18.0,0.0
84452edffffffff,2.0,0.0,0.0
8445303ffffffff,5.0,0.0,0.0
8445319ffffffff,11.0,0.0,0.0
8445321ffffffff,7.0,0.0,0.0
8445343ffffffff,12.0,0.0,0.0
8445353ffffffff,6.0,0.0,0.0
8445721ffffffff,134.0,0.0,0.0
8445723ffffffff,4.0,0.0,0.0
8445725ffffffff,1.0,0.0,0.0
8445727ffffffff,29.0,0.0,0.0
8445729ffffffff,3.0,0.0,0.0
8445749ffffffff,3.0,0.0,0.0
8445761ffffffff,5.0,0.0,0.0
