cell_id,Todiramphus saurophagus,Todiramphus saurophagus saurophagus,Todiramphus saurophagus admiralitatis
8372a3fffffffff,2.0,0.0,0.0
8372aefffffffff,49.0,0.0,0.0
8372c8fffffffff,2.0,0.0,0.0
8372c9fffffffff,1.0,0.0,0.0
8372f3fffffffff,2.0,0.0,0.0
837390fffffffff,89.0,11.0,0.0
837391fffffffff,1.0,0.0,0.0
837395fffffffff,4.0,1.0,0.0
837396fffffffff,3.0,1.0,0.0
837398fffffffff,15.0,1.0,0.0
83739afffffffff,300.0,43.0,0.0
83739bfffffffff,9.0,2.0,0.0
83739efffffffff,2.0,1.0,0.0
837683fffffffff,4.0,0.0,0.0
837692fffffffff,1.0,0.0,0.0
837699fffffffff,56.0,0.0,0.0
83769dfffffffff,18.0,0.0,0.0
8376a2fffffffff,1.0,0.0,0.0
837782fffffffff,1.0,0.0,0.0
837791fffffffff,3.0,0.0,0.0
837799fffffffff,2.0,0.0,0.0
839561fffffffff,12.0,1.0,0.0
839569fffffffff,1.0,0.0,0.0
83956cfffffffff,14.0,0.0,0.0
83956dfffffffff,12.0,0.0,0.0
839c90fffffffff,50.0,0.0,0.0
839c99fffffffff,2.0,0.0,0.0
839d98fffffffff,2.0,0.0,0.0
839ed1fffffffff,2.0,0.0,0.0
839ed5fffffffff,4.0,1.0,0.0
839ed8fffffffff,1.0,0.0,0.0
839edafffffffff,10.0,0.0,0.0
839edbfffffffff,2.0,0.0,0.0
839edefffffffff,2.0,0.0,0.0
839ef3fffffffff,1.0,0.0,0.0
