cell_id,Lanius cristatus,Lanius cristatus cristatus/confusus,Lanius cristatus superciliosus,Lanius cristatus lucionensis
840a337ffffffff,1.0,0.0,0.0,0.0
8414813ffffffff,8.0,0.0,0.0,0.0
8414859ffffffff,2.0,0.0,0.0,0.0
8414921ffffffff,2.0,0.0,0.0,0.0
841496bffffffff,2.0,0.0,0.0,0.0
84149adffffffff,6.0,0.0,0.0,0.0
84149e7ffffffff,2.0,0.0,0.0,0.0
8414a8dffffffff,2.0,0.0,0.0,0.0
8414aa1ffffffff,2.0,0.0,0.0,0.0
8414ae5ffffffff,98.0,0.0,0.0,0.0
8414ae9ffffffff,1.0,0.0,0.0,0.0
8414aedffffffff,2.0,0.0,0.0,0.0
8414b27ffffffff,2.0,0.0,0.0,0.0
8414c87ffffffff,3.0,0.0,0.0,0.0
8414d65ffffffff,2.0,0.0,0.0,0.0
84155d9ffffffff,10.0,0.0,0.0,0.0
84155dbffffffff,4.0,0.0,0.0,0.0
8415889ffffffff,4.0,0.0,0.0,0.0
8415901ffffffff,2.0,0.0,0.0,0.0
841590bffffffff,1.0,0.0,0.0,0.0
8415913ffffffff,3.0,0.0,0.0,0.0
8415917ffffffff,2.0,0.0,0.0,0.0
8415923ffffffff,2.0,0.0,0.0,0.0
8415929ffffffff,1.0,0.0,0.0,0.0
841592bffffffff,2.0,0.0,0.0,0.0
8415953ffffffff,3.0,0.0,0.0,0.0
8415981ffffffff,2.0,0.0,0.0,0.0
841598bffffffff,3.0,1.0,0.0,0.0
841598dffffffff,4.0,0.0,0.0,0.0
841599dffffffff,2.0,2.0,0.0,0.0
84159c5ffffffff,5.0,0.0,0.0,0.0
8415b07ffffffff,7.0,0.0,0.0,0.0
841630bffffffff,2.0,0.0,0.0,0.0
8417111ffffffff,2.0,0.0,0.0,0.0
8417155ffffffff,1.0,0.0,0.0,0.0
84204ddffffffff,2.0,2.0,0.0,0.0
8420685ffffffff,1.0,1.0,0.0,0.0
8424001ffffffff,2.0,0.0,0.0,0.0
8424005ffffffff,1.0,0.0,0.0,0.0
842400dffffffff,4.0,0.0,0.0,0.0
8424031ffffffff,1.0,0.0,0.0,0.0
8424037ffffffff,1.0,0.0,0.0,0.0
8424047ffffffff,1.0,0.0,0.0,0.0
8424049ffffffff,1.0,0.0,0.0,0.0
842405bffffffff,1.0,0.0,0.0,0.0
842406bffffffff,2.0,0.0,0.0,0.0
842408bffffffff,1.0,0.0,0.0,0.0
84240a9ffffffff,5.0,0.0,0.0,0.0
84240adffffffff,1.0,0.0,0.0,0.0
84240e7ffffffff,1.0,0.0,0.0,0.0
8424213ffffffff,10.0,0.0,0.0,0.0
842423bffffffff,1.0,0.0,0.0,0.0
8424251ffffffff,2.0,0.0,0.0,0.0
8424265ffffffff,6.0,0.0,0.0,0.0
8424299ffffffff,3.0,0.0,0.0,0.0
84242a1ffffffff,1.0,0.0,0.0,0.0
84242b3ffffffff,1.0,0.0,0.0,0.0
84242c5ffffffff,2.0,0.0,0.0,0.0
84242d7ffffffff,1.0,0.0,0.0,0.0
84242e1ffffffff,2.0,0.0,0.0,0.0
8424311ffffffff,2.0,0.0,0.0,0.0
