cell_id,Clibanornis rubiginosus,Clibanornis rubiginosus [rubiginosus Group],Clibanornis rubiginosus [nigricauda Group],Clibanornis rubiginosus cinnamomeigula,Clibanornis rubiginosus [obscurus Group],Clibanornis rubiginosus watkinsi
834520fffffffff,33.0,0.0,0.0,0.0,0.0,0.0
834524fffffffff,102.0,0.0,0.0,0.0,0.0,0.0
834525fffffffff,40.0,16.0,0.0,0.0,0.0,0.0
834526fffffffff,37.0,5.0,0.0,0.0,0.0,0.0
834534fffffffff,5.0,0.0,0.0,0.0,0.0,0.0
834535fffffffff,92.0,0.0,0.0,0.0,0.0,0.0
834536fffffffff,13.0,0.0,0.0,0.0,0.0,0.0
834994fffffffff,1.0,0.0,0.0,0.0,0.0,0.0
834996fffffffff,66.0,11.0,0.0,0.0,0.0,0.0
83499efffffffff,2.0,0.0,0.0,0.0,0.0,0.0
8349b1fffffffff,43.0,0.0,0.0,0.0,0.0,0.0
8349b5fffffffff,25.0,0.0,0.0,0.0,0.0,0.0
835f00fffffffff,5.0,0.0,0.0,0.0,0.0,0.0
835f75fffffffff,7.0,0.0,0.0,0.0,0.0,0.0
836608fffffffff,50.0,0.0,0.0,0.0,0.0,0.0
83660afffffffff,2.0,0.0,0.0,0.0,0.0,0.0
836612fffffffff,1.0,0.0,0.0,0.0,0.0,0.0
836613fffffffff,31.0,0.0,0.0,0.0,0.0,0.0
836618fffffffff,2.0,0.0,0.0,0.0,0.0,0.0
836619fffffffff,16.0,0.0,0.0,0.0,0.0,0.0
83661afffffffff,4.0,0.0,0.0,0.0,0.0,0.0
83661bfffffffff,405.0,0.0,0.0,0.0,0.0,0.0
83661cfffffffff,8.0,0.0,0.0,0.0,0.0,0.0
83661dfffffffff,49.0,0.0,0.0,0.0,0.0,0.0
836656fffffffff,9.0,0.0,0.0,0.0,0.0,0.0
83666afffffffff,1.0,0.0,0.0,0.0,0.0,0.0
8366b4fffffffff,1.0,0.0,0.0,0.0,0.0,0.0
8366b5fffffffff,680.0,0.0,0.0,0.0,0.0,0.0
8366d0fffffffff,129.0,0.0,0.0,0.0,0.0,0.0
8366d2fffffffff,2.0,0.0,0.0,0.0,0.0,0.0
8366d3fffffffff,359.0,0.0,41.0,0.0,0.0,0.0
8366dafffffffff,14.0,0.0,0.0,0.0,0.0,0.0
8366dcfffffffff,2.0,0.0,0.0,0.0,0.0,0.0
8366defffffffff,98.0,0.0,0.0,0.0,6.0,0.0
8366e0fffffffff,10.0,0.0,0.0,0.0,0.0,0.0
8366e4fffffffff,34.0,0.0,0.0,0.0,0.0,0.0
8366e5fffffffff,34.0,0.0,0.0,0.0,0.0,0.0
8366e6fffffffff,15.0,0.0,0.0,0.0,0.0,0.0
8366f0fffffffff,76.0,0.0,0.0,0.0,0.0,0.0
8366f1fffffffff,26.0,0.0,0.0,0.0,0.0,0.0
8366f5fffffffff,62.0,0.0,0.0,0.0,0.0,0.0
836d05fffffffff,388.0,164.0,0.0,0.0,0.0,0.0
836d20fffffffff,19.0,2.0,0.0,0.0,0.0,0.0
836d28fffffffff,392.0,62.0,0.0,0.0,0.0,0.0
836d29fffffffff,374.0,20.0,0.0,0.0,0.0,0.0
836d2afffffffff,159.0,27.0,0.0,0.0,0.0,0.0
836d2bfffffffff,640.0,28.0,0.0,0.0,0.0,0.0
836d2cfffffffff,35.0,3.0,0.0,0.0,0.0,0.0
836d2dfffffffff,1170.0,481.0,0.0,0.0,0.0,0.0
836d2efffffffff,28.0,0.0,0.0,0.0,0.0,0.0
836d30fffffffff,69.0,5.0,0.0,0.0,0.0,0.0
836d33fffffffff,135.0,9.0,0.0,0.0,0.0,0.0
836d36fffffffff,10.0,0.0,0.0,0.0,0.0,0.0
836d64fffffffff,11.0,0.0,0.0,0.0,0.0,0.0
836d65fffffffff,29.0,0.0,0.0,0.0,0.0,0.0
836d66fffffffff,41.0,0.0,0.0,0.0,0.0,0.0
838a45fffffffff,2.0,0.0,0.0,0.0,0.0,0.0
838a69fffffffff,2.0,0.0,0.0,0.0,0.0,0.0
838a6dfffffffff,1.0,0.0,0.0,0.0,0.0,0.0
838af6fffffffff,57.0,0.0,0.0,0.0,0.0,0.0
838b40fffffffff,3.0,0.0,0.0,0.0,0.0,2.0
838b44fffffffff,23.0,0.0,0.0,0.0,0.0,0.0
838b4efffffffff,5.0,0.0,0.0,0.0,0.0,0.0
838b61fffffffff,37.0,0.0,0.0,0.0,0.0,4.0
838b62fffffffff,1.0,0.0,0.0,0.0,0.0,0.0
838b63fffffffff,10.0,0.0,0.0,0.0,0.0,0.0
838b68fffffffff,3.0,0.0,0.0,0.0,0.0,0.0
838b6cfffffffff,1.0,0.0,0.0,0.0,0.0,0.0
838b6efffffffff,8.0,0.0,0.0,0.0,0.0,0.0
838b71fffffffff,9.0,0.0,0.0,0.0,0.0,0.0
838e64fffffffff,1.0,0.0,0.0,0.0,0.0,0.0
838f29fffffffff,7.0,0.0,0.0,0.0,0.0,0.0
838f40fffffffff,15.0,0.0,0.0,0.0,0.0,0.0
838f43fffffffff,3.0,0.0,0.0,0.0,0.0,0.0
838f4bfffffffff,2.0,0.0,0.0,0.0,0.0,0.0
838f5dfffffffff,1.0,0.0,0.0,0.0,0.0,0.0
838f72fffffffff,38.0,0.0,0.0,0.0,10.0,0.0
