cell_id,Ducula rubricera,Ducula rubricera rubricera,Ducula rubricera rufigula
837680fffffffff,2.0,0.0,0.0
837682fffffffff,1.0,0.0,0.0
837683fffffffff,2.0,0.0,0.0
837684fffffffff,1.0,0.0,0.0
837686fffffffff,2.0,0.0,0.0
83768afffffffff,2.0,0.0,0.0
83768efffffffff,2.0,0.0,0.0
837699fffffffff,46.0,0.0,0.0
83769dfffffffff,45.0,0.0,0.0
837791fffffffff,1.0,0.0,0.0
837798fffffffff,4.0,0.0,0.0
837799fffffffff,12.0,0.0,0.0
83779afffffffff,4.0,0.0,0.0
83779bfffffffff,2.0,0.0,0.0
839c90fffffffff,295.0,0.0,0.0
839c91fffffffff,1.0,0.0,0.0
839c96fffffffff,7.0,0.0,0.0
839c9cfffffffff,1.0,0.0,0.0
839ed1fffffffff,3.0,0.0,0.0
839ed3fffffffff,6.0,0.0,0.0
839ed5fffffffff,23.0,0.0,0.0
839ed8fffffffff,1.0,0.0,0.0
839edafffffffff,22.0,0.0,0.0
839edcfffffffff,1.0,0.0,0.0
839edefffffffff,28.0,0.0,0.0
839ef3fffffffff,1.0,0.0,0.0
