cell_id,Loxia leucoptera,Loxia leucoptera bifasciata,Loxia leucoptera leucoptera
830815fffffffff,1.0,0.0,0.0
83082afffffffff,1.0,0.0,0.0
830886fffffffff,5.0,0.0,0.0
83089dfffffffff,2.0,2.0,0.0
8308a0fffffffff,2.0,0.0,0.0
8308aefffffffff,1.0,0.0,0.0
8308c3fffffffff,2.0,0.0,0.0
8308c8fffffffff,3.0,0.0,0.0
8308cdfffffffff,2.0,0.0,0.0
8308d3fffffffff,4.0,0.0,0.0
8308d5fffffffff,2.0,0.0,0.0
8308d8fffffffff,3.0,0.0,0.0
8308ddfffffffff,2.0,2.0,0.0
8308e3fffffffff,2.0,0.0,0.0
8308edfffffffff,2.0,0.0,0.0
830991fffffffff,10.0,0.0,0.0
830c01fffffffff,6.0,0.0,0.0
830c02fffffffff,2.0,0.0,0.0
830c03fffffffff,27.0,0.0,0.0
830c04fffffffff,3.0,0.0,0.0
830c05fffffffff,2.0,0.0,0.0
830c0bfffffffff,20.0,0.0,0.0
830c14fffffffff,1.0,0.0,0.0
830c15fffffffff,7.0,0.0,0.0
830c23fffffffff,24.0,0.0,0.0
830c25fffffffff,4.0,0.0,0.0
830c29fffffffff,1.0,0.0,0.0
830c2afffffffff,37.0,0.0,0.0
830c2cfffffffff,24.0,0.0,0.0
830c2dfffffffff,3.0,0.0,0.0
830c34fffffffff,4.0,0.0,0.0
830c35fffffffff,1.0,0.0,0.0
830c40fffffffff,2.0,0.0,0.0
830c42fffffffff,236.0,0.0,0.0
830c44fffffffff,2.0,0.0,0.0
830c45fffffffff,25.0,0.0,0.0
830c46fffffffff,295.0,0.0,0.0
830c50fffffffff,22.0,0.0,0.0
830c51fffffffff,286.0,0.0,0.0
830c52fffffffff,2.0,0.0,0.0
830c54fffffffff,40.0,0.0,0.0
830c55fffffffff,209.0,0.0,0.0
830c56fffffffff,4.0,0.0,0.0
830c5afffffffff,117.0,0.0,0.0
830c60fffffffff,16.0,0.0,0.0
830c61fffffffff,5.0,0.0,0.0
830c62fffffffff,39.0,0.0,0.0
830c63fffffffff,10.0,0.0,0.0
830c64fffffffff,175.0,0.0,0.0
830c65fffffffff,43.0,0.0,0.0
830c66fffffffff,19.0,0.0,0.0
830c70fffffffff,49.0,0.0,0.0
830c71fffffffff,68.0,0.0,0.0
830c73fffffffff,1115.0,0.0,13.0
830c74fffffffff,531.0,0.0,0.0
830c75fffffffff,26.0,0.0,0.0
830c76fffffffff,30.0,0.0,0.0
830cecfffffffff,2.0,0.0,0.0
830cedfffffffff,3.0,0.0,0.0
830ceefffffffff,3.0,0.0,0.0
830d40fffffffff,60.0,0.0,0.0
830d42fffffffff,20.0,0.0,0.0
830d46fffffffff,22.0,0.0,0.0
830d48fffffffff,26.0,0.0,0.0
830d49fffffffff,26.0,0.0,0.0
830d4afffffffff,29.0,0.0,0.0
830d4cfffffffff,13.0,0.0,0.0
830d4dfffffffff,14.0,0.0,0.0
830d4efffffffff,19.0,0.0,0.0
830d52fffffffff,53.0,0.0,0.0
830d53fffffffff,12.0,0.0,0.0
830d56fffffffff,11.0,0.0,0.0
830d58fffffffff,294.0,0.0,0.0
830d59fffffffff,29.0,0.0,0.0
830d5afffffffff,372.0,0.0,0.0
830d5bfffffffff,27.0,0.0,0.0
830d5cfffffffff,4.0,0.0,0.0
830d5efffffffff,109.0,0.0,0.0
830d61fffffffff,19.0,0.0,0.0
830d65fffffffff,4.0,0.0,0.0
830d6afffffffff,4.0,0.0,0.0
830d6bfffffffff,2.0,0.0,0.0
830d6cfffffffff,9.0,0.0,0.0
830d6efffffffff,12.0,0.0,0.0
830d73fffffffff,3.0,0.0,0.0
830e45fffffffff,13.0,0.0,0.0
830e48fffffffff,18.0,0.0,0.0
830e49fffffffff,166.0,0.0,0.0
830e4afffffffff,51.0,0.0,0.0
830e4bfffffffff,4.0,0.0,0.0
830e4cfffffffff,14.0,0.0,0.0
830e4dfffffffff,176.0,0.0,0.0
830e4efffffffff,3.0,0.0,0.0
830e51fffffffff,4.0,0.0,0.0
830e52fffffffff,12.0,0.0,0.0
830e53fffffffff,56.0,0.0,0.0
830e59fffffffff,21.0,0.0,0.0
830e5afffffffff,3.0,0.0,0.0
830e5bfffffffff,55.0,0.0,0.0
830e62fffffffff,16.0,0.0,0.0
830e63fffffffff,1.0,0.0,0.0
830e6afffffffff,13.0,0.0,0.0
830e6bfffffffff,9.0,0.0,0.0
830e6cfffffffff,3.0,0.0,0.0
830e6efffffffff,2.0,0.0,0.0
830e80fffffffff,131.0,0.0,0.0
830e83fffffffff,3.0,0.0,0.0
830e89fffffffff,8.0,0.0,0.0
830e8dfffffffff,2.0,0.0,0.0
830e91fffffffff,5.0,0.0,0.0
830e94fffffffff,4.0,0.0,0.0
830e96fffffffff,7.0,0.0,0.0
830e9afffffffff,5.0,0.0,0.0
830ec0fffffffff,12.0,0.0,0.0
830ec1fffffffff,58.0,0.0,0.0
830ec2fffffffff,19.0,0.0,0.0
830ec3fffffffff,8.0,0.0,0.0
830ec5fffffffff,7.0,0.0,0.0
830ec8fffffffff,99.0,0.0,0.0
830ec9fffffffff,196.0,0.0,0.0
830ecafffffffff,19.0,0.0,0.0
830ecbfffffffff,96.0,0.0,0.0
830eccfffffffff,609.0,0.0,0.0
830ecdfffffffff,101.0,0.0,0.0
830ed0fffffffff,1.0,0.0,0.0
830ed1fffffffff,8.0,0.0,0.0
830ed4fffffffff,11.0,0.0,0.0
830ed5fffffffff,4.0,0.0,0.0
830ed8fffffffff,4.0,0.0,0.0
830ed9fffffffff,7.0,0.0,0.0
830edbfffffffff,10.0,0.0,0.0
830edcfffffffff,4.0,0.0,0.0
830eddfffffffff,3.0,0.0,0.0
830edefffffffff,1.0,0.0,0.0
830ee1fffffffff,1.0,0.0,0.0
830ee8fffffffff,37.0,0.0,0.0
830ee9fffffffff,2.0,0.0,0.0
830eeafffffffff,1693.0,0.0,0.0
830eebfffffffff,39.0,0.0,0.0
830eecfffffffff,12.0,0.0,0.0
830eedfffffffff,31.0,0.0,0.0
830eeefffffffff,11.0,0.0,0.0
830ef0fffffffff,1.0,0.0,0.0
830ef2fffffffff,8.0,0.0,0.0
830ef3fffffffff,3.0,0.0,0.0
830f4bfffffffff,4.0,0.0,0.0
830f5afffffffff,4.0,0.0,0.0
8310eefffffffff,7.0,2.0,0.0
831106fffffffff,5.0,0.0,0.0
831122fffffffff,2.0,0.0,0.0
831126fffffffff,8.0,2.0,0.0
831203fffffffff,3.0,0.0,0.0
831208fffffffff,5.0,0.0,0.0
83120afffffffff,6.0,0.0,0.0
83120bfffffffff,2.0,0.0,0.0
