cell_id,Bubo capensis,Bubo capensis dillonii/mackinderi,Bubo capensis capensis
825287fffffffff,1.0,0.0,0.0
825297fffffffff,2.0,0.0,0.0
82529ffffffffff,16.0,6.0,0.0
827a47fffffffff,132.0,53.0,0.0
827a6ffffffffff,14.0,0.0,0.0
827acffffffffff,121.0,30.0,0.0
827aeffffffffff,1.0,0.0,0.0
8296a7fffffffff,1.0,0.0,0.0
8296b7fffffffff,4.0,0.0,0.0
829707fffffffff,2.0,0.0,0.0
82ac37fffffffff,1.0,0.0,0.0
82ad8ffffffffff,6.0,0.0,0.0
82adaffffffffff,5.0,0.0,0.0
82bc57fffffffff,1.0,0.0,1.0
82bc77fffffffff,5.0,0.0,5.0
82bcc7fffffffff,2.0,0.0,2.0
82bce7fffffffff,1.0,0.0,1.0
82bcf7fffffffff,1.0,0.0,1.0
