cell_id,Junco phaeonotus,Junco phaeonotus phaeonotus/palliatus,Junco phaeonotus fulvescens,Junco phaeonotus alticola
8426f0dffffffff,27.0,0.0,0.0,0.0
844814bffffffff,1.0,1.0,0.0,0.0
844819dffffffff,1.0,1.0,0.0,0.0
8448337ffffffff,6.0,4.0,0.0,0.0
8448a29ffffffff,1.0,1.0,0.0,0.0
8448c03ffffffff,2.0,0.0,0.0,0.0
8448c0bffffffff,24.0,0.0,0.0,0.0
8448c1bffffffff,4.0,0.0,0.0,0.0
8448c1dffffffff,2.0,0.0,0.0,0.0
8448c59ffffffff,92.0,17.0,0.0,0.0
8448c5bffffffff,7.0,5.0,0.0,0.0
8448c61ffffffff,16.0,0.0,0.0,0.0
8448d5dffffffff,2.0,0.0,0.0,0.0
8448dc3ffffffff,2.0,0.0,0.0,0.0
8448e37ffffffff,30.0,0.0,0.0,0.0
8448e85ffffffff,183.0,5.0,0.0,0.0
8448e89ffffffff,2.0,0.0,0.0,0.0
8448e8dffffffff,99.0,4.0,0.0,0.0
8448ea1ffffffff,27.0,0.0,0.0,0.0
8448eadffffffff,15.0,0.0,0.0,0.0
8448eb1ffffffff,2.0,0.0,0.0,0.0
8448eb3ffffffff,7.0,0.0,0.0,0.0
8448eb5ffffffff,30.0,0.0,0.0,0.0
8448ec7ffffffff,4.0,0.0,0.0,0.0
8448ee7ffffffff,1.0,0.0,0.0,0.0
8448ee9ffffffff,6.0,1.0,0.0,0.0
8448eebffffffff,17.0,0.0,0.0,0.0
8448eedffffffff,2.0,0.0,0.0,0.0
8448f51ffffffff,2.0,0.0,0.0,0.0
844983dffffffff,5.0,0.0,0.0,0.0
8449863ffffffff,7.0,7.0,0.0,0.0
8449865ffffffff,3.0,2.0,0.0,0.0
8449901ffffffff,2.0,0.0,0.0,0.0
8449909ffffffff,2.0,0.0,0.0,0.0
844990bffffffff,4.0,0.0,0.0,0.0
8449945ffffffff,8.0,0.0,0.0,0.0
8449957ffffffff,2.0,2.0,0.0,0.0
8449959ffffffff,6.0,6.0,0.0,0.0
844995dffffffff,31.0,2.0,0.0,0.0
8449963ffffffff,12.0,0.0,0.0,0.0
844996bffffffff,4.0,0.0,0.0,0.0
84499bbffffffff,2.0,0.0,0.0,0.0
8449a85ffffffff,1.0,1.0,0.0,0.0
8449b23ffffffff,1.0,0.0,0.0,0.0
846d23bffffffff,1.0,0.0,1.0,0.0
846d281ffffffff,8.0,0.0,0.0,6.0
846d283ffffffff,29.0,0.0,0.0,8.0
846d287ffffffff,4.0,0.0,0.0,0.0
846d28dffffffff,14.0,0.0,0.0,6.0
846d295ffffffff,3.0,0.0,0.0,0.0
846d2a9ffffffff,8.0,0.0,0.0,2.0
846d305ffffffff,2.0,2.0,0.0,0.0
846d32bffffffff,11.0,3.0,0.0,0.0
846d36dffffffff,4.0,0.0,0.0,0.0
